feature_set,n_train_other,n_train_finetune,n_test,finetune_subset_label,user_cutoff,train_all_p5_cutoff,train_finetune_p5_cutoff,median_similarity_to_train_all,median_similarity_to_train_finetune,mean_topk_similarity_to_train_all,mean_topk_similarity_to_train_finetune,delta_mean_topk_finetune_minus_all,fine_tuning_preferred,output_subdir,n_outside_ad_user_cutoff_all,pct_outside_ad_user_cutoff_all,n_outside_ad_user_cutoff_finetune,pct_outside_ad_user_cutoff_finetune,n_outside_ad_train_all_p5,pct_outside_ad_train_all_p5,n_outside_ad_train_finetune_p5,pct_outside_ad_train_finetune_p5,is_best
rdkit_path_min3_max8_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.6734618902206421,0.8258099257946014,0.9627203941345215,0.9601395130157471,0.9365226626396179,0.9303785562515259,-0.006144106388092041,False,AD_all_hlm/rdkit_path_min3_max8_b1024,0,0.0,0,0.0,1,0.1278772378516624,18,2.3017902813299234,True
rdkit_path_min4_max8_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.6597407817840576,0.8171741664409637,0.9608869552612305,0.9579873085021973,0.93296879529953,0.9260731339454651,-0.006895661354064941,False,AD_all_hlm/rdkit_path_min4_max8_b1024,0,0.0,0,0.0,1,0.1278772378516624,18,2.3017902813299234,False
rdkit_path_min4_max8_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.5155944734811783,0.7290360927581787,0.8606603145599365,0.8436994552612305,0.8127756714820862,0.7879309058189392,-0.024844765663146973,False,AD_all_hlm/rdkit_path_min4_max8_b2048,1,0.1278772378516624,1,0.1278772378516624,1,0.1278772378516624,99,12.659846547314578,False
rdkit_path_min3_max8_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.5286920249462128,0.7371798753738403,0.8645403385162354,0.8477380275726318,0.8187196254730225,0.7938457131385803,-0.02487391233444214,False,AD_all_hlm/rdkit_path_min3_max8_b2048,0,0.0,1,0.1278772378516624,1,0.1278772378516624,106,13.554987212276215,False
rdkit_path_min3_max7_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.6038649708032608,0.7857253551483154,0.8720077872276306,0.8514686822891235,0.8400524854660034,0.8239482045173645,-0.016104280948638916,False,AD_all_hlm/rdkit_path_min3_max7_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,120,15.345268542199488,False
rdkit_path_min4_max7_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.586731880903244,0.7762682735919952,0.8604693412780762,0.8453993797302246,0.8288667798042297,0.8130069375038147,-0.01585984230041504,False,AD_all_hlm/rdkit_path_min4_max7_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,120,15.345268542199488,False
chemeleon+rdkit_path_min4_max8_b1024,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.760058730840683,0.8909960687160492,0.9225455522537231,0.9218310117721558,0.9086654782295227,0.9052379131317139,-0.003427565097808838,False,AD_all_hlm/chemeleon__rdkit_path_min4_max8_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,154,19.69309462915601,False
chemeleon+rdkit_path_min3_max8_b1024,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.7669379591941834,0.8952938318252563,0.9243893027305603,0.9231867790222168,0.9107850193977356,0.9074560403823853,-0.003328979015350342,False,AD_all_hlm/chemeleon__rdkit_path_min3_max8_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,168,21.483375959079282,False
rdkit_path_min4_max8_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.4197429850697517,0.6664701402187347,0.7677325010299683,0.7661417126655579,0.6917815208435059,0.6844926476478577,-0.007288873195648193,False,AD_all_hlm/rdkit_path_min4_max8_b4096,1,0.1278772378516624,3,0.3836317135549872,2,0.2557544757033248,191,24.424552429667518,False
rdkit_path_min3_max8_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.43068474233150483,0.6753246784210205,0.7709099054336548,0.7687357664108276,0.6968186497688293,0.689595639705658,-0.007223010063171387,False,AD_all_hlm/rdkit_path_min3_max8_b4096,1,0.1278772378516624,2,0.2557544757033248,2,0.2557544757033248,201,25.703324808184142,False
avalon_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.5847560286521911,0.786467581987381,0.8462347984313965,0.8462347984313965,0.795222818851471,0.7928426265716553,-0.002380192279815674,False,AD_all_hlm/avalon_b1024,0,0.0,0,0.0,9,1.1508951406649617,209,26.726342710997443,False
rdkit_path_min4_max7_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.48083372563123705,0.7100733518600464,0.7728625535964966,0.7722821235656738,0.7172039747238159,0.7135784029960632,-0.0036255717277526855,False,AD_all_hlm/rdkit_path_min4_max7_b2048,0,0.0,1,0.1278772378516624,2,0.2557544757033248,254,32.48081841432225,False
chemeleon+rdkit_path_min4_max8_b2048,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6860782563686371,0.845025360584259,0.8710299134254456,0.8705240488052368,0.8456408381462097,0.8405918478965759,-0.005048990249633789,False,AD_all_hlm/chemeleon__rdkit_path_min4_max8_b2048,0,0.0,1,0.1278772378516624,1,0.1278772378516624,259,33.12020460358056,False
rdkit_path_min3_max7_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.49549678415060044,0.7224124670028687,0.7784829139709473,0.7771220207214355,0.726128101348877,0.7224065661430359,-0.0037215352058410645,False,AD_all_hlm/rdkit_path_min3_max7_b2048,0,0.0,1,0.1278772378516624,2,0.2557544757033248,264,33.75959079283887,False
chemeleon+rdkit_path_min3_max8_b2048,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6927869528532028,0.8499819040298462,0.8737614750862122,0.8722922801971436,0.848435640335083,0.8432816863059998,-0.005153954029083252,False,AD_all_hlm/chemeleon__rdkit_path_min3_max8_b2048,0,0.0,1,0.1278772378516624,1,0.1278772378516624,269,34.39897698209719,False
rdkit_path_min4_max7_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.411922986805439,0.6743921339511871,0.7353715896606445,0.7325426340103149,0.6641765236854553,0.6626090407371521,-0.0015674829483032227,False,AD_all_hlm/rdkit_path_min4_max7_b4096,7,0.8951406649616368,16,2.0460358056265986,12,1.5345268542199488,296,37.851662404092075,False
rdkit_path_min3_max7_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.42553192377090454,0.6829323172569275,0.7385319471359253,0.7357164621353149,0.6708257794380188,0.6692707538604736,-0.001555025577545166,False,AD_all_hlm/rdkit_path_min3_max7_b4096,6,0.7672634271099744,13,1.6624040920716112,13,1.6624040920716112,304,38.87468030690537,False
chemeleon+rdkit_path_min4_max8_b4096,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6384436041116714,0.8139798641204834,0.8368412256240845,0.8367714881896973,0.7926371097564697,0.7904417514801025,-0.0021953582763671875,False,AD_all_hlm/chemeleon__rdkit_path_min4_max8_b4096,1,0.1278772378516624,5,0.639386189258312,4,0.5115089514066496,323,41.30434782608695,False
morgan_r3_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.2839506268501282,0.5555555820465088,0.5903614163398743,0.5903614163398743,0.5037936568260193,0.5028941631317139,-0.0008994936943054199,False,AD_all_hlm/morgan_r3_b2048,118,15.089514066496164,119,15.217391304347826,16,2.0460358056265986,327,41.81585677749361,False
chemeleon+rdkit_path_min3_max8_b4096,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6436964243650436,0.8168957829475403,0.8387888073921204,0.8383471965789795,0.7952548265457153,0.7930480241775513,-0.0022068023681640625,False,AD_all_hlm/chemeleon__rdkit_path_min3_max8_b4096,0,0.0,5,0.639386189258312,4,0.5115089514066496,331,42.327365728900254,False
morgan_r3_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.27835050225257874,0.5510033369064331,0.5858224034309387,0.5858224034309387,0.49871018528938293,0.49775430560112,-0.0009558796882629395,False,AD_all_hlm/morgan_r3_b4096,123,15.728900255754477,124,15.856777493606138,18,2.3017902813299234,331,42.327365728900254,False
