feature_set,n_train_other,n_train_finetune,n_test,finetune_subset_label,user_cutoff,train_all_p5_cutoff,train_finetune_p5_cutoff,median_similarity_to_train_all,median_similarity_to_train_finetune,mean_topk_similarity_to_train_all,mean_topk_similarity_to_train_finetune,delta_mean_topk_finetune_minus_all,fine_tuning_preferred,output_subdir,n_outside_ad_user_cutoff_all,pct_outside_ad_user_cutoff_all,n_outside_ad_user_cutoff_finetune,pct_outside_ad_user_cutoff_finetune,n_outside_ad_train_all_p5,pct_outside_ad_train_all_p5,n_outside_ad_train_finetune_p5,pct_outside_ad_train_finetune_p5,is_best
rdkit_path_min3_max8_b1024,5767,3751,782,openadmet_expansion_train,0.4,0.6151352435350418,0.8258099257946014,0.9627203941345215,0.9601395130157471,0.9361430406570435,0.9303785562515259,-0.005764484405517578,False,AD_no_scale_hlm/rdkit_path_min3_max8_b1024,0,0.0,0,0.0,1,0.1278772378516624,18,2.3017902813299234,True
rdkit_path_min4_max8_b1024,5767,3751,782,openadmet_expansion_train,0.4,0.599732267856598,0.8171741664409637,0.9606258869171143,0.9579873085021973,0.9326222538948059,0.9260731339454651,-0.00654911994934082,False,AD_no_scale_hlm/rdkit_path_min4_max8_b1024,0,0.0,0,0.0,1,0.1278772378516624,18,2.3017902813299234,False
rdkit_path_min4_max8_b2048,5767,3751,782,openadmet_expansion_train,0.4,0.4622166156768799,0.7290360927581787,0.8580518960952759,0.8436994552612305,0.808920681476593,0.7879309058189392,-0.02098977565765381,False,AD_no_scale_hlm/rdkit_path_min4_max8_b2048,1,0.1278772378516624,1,0.1278772378516624,1,0.1278772378516624,99,12.659846547314578,False
rdkit_path_min3_max8_b2048,5767,3751,782,openadmet_expansion_train,0.4,0.47714033275842666,0.7371798753738403,0.8633154034614563,0.8477380275726318,0.8151766657829285,0.7938457131385803,-0.021330952644348145,False,AD_no_scale_hlm/rdkit_path_min3_max8_b2048,0,0.0,1,0.1278772378516624,1,0.1278772378516624,106,13.554987212276215,False
rdkit_path_min3_max7_b1024,5767,3751,782,openadmet_expansion_train,0.4,0.5562104642391205,0.7857253551483154,0.8696078658103943,0.8514686822891235,0.8377789855003357,0.8239482045173645,-0.013830780982971191,False,AD_no_scale_hlm/rdkit_path_min3_max7_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,120,15.345268542199488,False
rdkit_path_min4_max7_b1024,5767,3751,782,openadmet_expansion_train,0.4,0.5358472138643265,0.7762682735919952,0.8579897284507751,0.8453993797302246,0.8263829946517944,0.8130069375038147,-0.013376057147979736,False,AD_no_scale_hlm/rdkit_path_min4_max7_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,120,15.345268542199488,False
chemeleon+rdkit_path_min4_max8_b1024,5767,3751,782,openadmet_expansion_train,0.6000000000000001,0.7244893372058868,0.8909960687160492,0.9223533868789673,0.9218310117721558,0.9081272482872009,0.9052379131317139,-0.0028893351554870605,False,AD_no_scale_hlm/chemeleon__rdkit_path_min4_max8_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,154,19.69309462915601,False
chemeleon+rdkit_path_min3_max8_b1024,5767,3751,782,openadmet_expansion_train,0.6000000000000001,0.7320803731679917,0.8952938318252563,0.923872709274292,0.9231867790222168,0.9102503657341003,0.9074560403823853,-0.002794325351715088,False,AD_no_scale_hlm/chemeleon__rdkit_path_min3_max8_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,168,21.483375959079282,False
rdkit_path_min4_max8_b4096,5767,3751,782,openadmet_expansion_train,0.4,0.37755945771932603,0.6664701402187347,0.7677325010299683,0.7661417126655579,0.6897192597389221,0.6844926476478577,-0.005226612091064453,False,AD_no_scale_hlm/rdkit_path_min4_max8_b4096,1,0.1278772378516624,3,0.3836317135549872,1,0.1278772378516624,191,24.424552429667518,False
rdkit_path_min3_max8_b4096,5767,3751,782,openadmet_expansion_train,0.4,0.3886949151754379,0.6753246784210205,0.7709099054336548,0.7687357664108276,0.6948845386505127,0.689595639705658,-0.005288898944854736,False,AD_no_scale_hlm/rdkit_path_min3_max8_b4096,1,0.1278772378516624,2,0.2557544757033248,1,0.1278772378516624,201,25.703324808184142,False
