,CXSMILES,HLM,Molecule Name,Set,hlm_value_unscaled,hlm_value_unscaled_log10_nan,hlm_value_unscaled_log10_epsilon,hlm_value_scaled,hlm_value_scaled_log10_nan,hlm_value_scaled_log10_epsilon,dataset,data_year
0,CN(C1=CC=C2CNCC2=C1)[C@H](C(=O)NCC(F)F)C1=CC(Cl)=CC(C2CC2)=C1 |&1:11|,17.1,ASAP-0031351,Train,17.1,1.2329961103921538,1.2329961103921538,17.5788,1.2449892250514107,1.2449892250514107,openadmet_polaris,2025
1,N#CC1=CC2=C(C=C1NC(=O)C1=CC(F)=CC3=C1C=NN3)CNC2,16.7,ASAP-0031265,Train,16.7,1.2227164711475833,1.2227164711475833,17.1676,1.2347095858068402,1.2347095858068402,openadmet_polaris,2025
2,O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC(C2=CNN=C2)=C1,36.3,ASAP-0031004,Train,36.3,1.5599066250361124,1.5599066250361124,37.316399999999994,1.5718997396953693,1.5718997396953693,openadmet_polaris,2025
3,COCCNC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1 |o1:7|,19.7,ASAP-0030761,Train,19.7,1.294466226161593,1.294466226161593,20.2516,1.3064593408208498,1.3064593408208498,openadmet_polaris,2025
4,O=C(NC1=CC(Br)=C2CNCC2=C1)C1=CC(F)=CC2=C1C=NN2,13.6,ASAP-0030792,Train,13.6,1.1335389083702174,1.1335389083702174,13.9808,1.1455320230294745,1.1455320230294745,openadmet_polaris,2025
5,CC(C)NC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1N=C(C1=CC=CC=C1)N2 |&1:6|,23.2,ASAP-0030826,Train,23.2,1.3654879848908996,1.3654879848908996,23.8496,1.3774810995501565,1.3774810995501565,openadmet_polaris,2025
6,O=C(NC1=CC2=C(C=C1Br)CNC2)C1=CC(F)=CC2=C1C=NN2,11.4,ASAP-0030085,Train,11.4,1.0569048513364727,1.0569048513364727,11.7192,1.0688979659957296,1.0688979659957296,openadmet_polaris,2025
7,O=C(NC1=CC=C2CNCC2=C1)C1=CC=CC2=C1C=C(C(F)(F)F)N2,14.1,ASAP-0030028,Train,14.1,1.14921911265538,1.14921911265538,14.4948,1.1612122273146368,1.1612122273146368,openadmet_polaris,2025
8,CC1=C(C(=O)NC2=CC([C@H]3CCOC3)=CC=N2)C=C(C2CC2)N1C |&1:9|,57.7,ASAP-0029521,Train,57.7,1.7611758131557314,1.7611758131557314,59.3156,1.7731689278149885,1.7731689278149885,openadmet_polaris,2025
9,O=C(NC1=CC=C2CNCC2=C1)C1=CC(Br)=CC2=C1N=C(C1=CC=CC=C1)N2,12.8,ASAP-0029352,Train,12.8,1.1072099696478683,1.1072099696478683,13.1584,1.1192030843071252,1.1192030843071252,openadmet_polaris,2025
10,N#C[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:2|,10.3,ASAP-0028904,Train,10.3,1.0128372247051722,1.0128372247051722,10.588400000000002,1.0248303393644291,1.0248303393644291,openadmet_polaris,2025
11,"O=C(NC1=CC(Cl)=CC([C@H]2CN(CC3=CC=CC=C3)C[C@@H]2C2=CC=CC(C3=NNN=N3)=C2)=C1)OCC1=CC=CC=C1 |&1:9,20|",46.3,ASAP-0027928,Train,46.3,1.665580991017953,1.665580991017953,47.596399999999996,1.67757410567721,1.67757410567721,openadmet_polaris,2025
12,C=CC[C@H](NC1=CC=C(C2=NNN=N2)C=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:3|,10.1,ASAP-0027983,Train,10.1,1.0043213737826426,1.0043213737826426,10.3828,1.0163144884418995,1.0163144884418995,openadmet_polaris,2025
13,CCN1C(C)=NN=C1SC1=CC(C)=NC2=NC=NN12,16.5,ASAP-0027872,Train,16.5,1.2174839442139063,1.2174839442139063,16.962,1.2294770588731632,1.2294770588731632,openadmet_polaris,2025
14,CC1=NC2=NC=NN2C(SC2=NN=C(C)O2)=C1,182.0,ASAP-0027864,Train,182.0,2.2600713879850747,2.2600713879850747,187.096,2.272064502644332,2.272064502644332,openadmet_polaris,2025
15,COC1=CC=C(C2=NN=C(SC3=CC(C)=NC4=NC=NN34)O2)C=C1,141.0,ASAP-0027845,Train,141.0,2.1492191126553797,2.1492191126553797,144.948,2.161212227314637,2.161212227314637,openadmet_polaris,2025
16,C=CC[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:3|,65.5,ASAP-0027823,Train,65.5,1.816241299991783,1.816241299991783,67.334,1.82823441465104,1.82823441465104,openadmet_polaris,2025
17,C1=CC=C(C2=NC3=NC=NN3C(SC3=NN=C(N4CCOCC4)S3)=C2)C=C1,290.0,ASAP-0027763,Train,290.0,2.462397997898956,2.462397997898956,298.12,2.474391112558213,2.474391112558213,openadmet_polaris,2025
18,N#C[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:2|,13.6,ASAP-0027741,Train,13.6,1.1335389083702174,1.1335389083702174,13.9808,1.1455320230294745,1.1455320230294745,openadmet_polaris,2025
19,N#C[C@H](NC1=CC=CC(C(=O)O)=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:2|,12.0,ASAP-0027804,Train,12.0,1.0791812460476249,1.0791812460476249,12.336,1.0911743607068818,1.0911743607068818,openadmet_polaris,2025
20,CNCC1=NC2=NC=NN2C(SC2=NN=C(C3=CC=C(Cl)C=C3)N2C)=C1,0.0,ASAP-0027762,Train,0.0,,-1.0,0.0,,-1.0,openadmet_polaris,2025
