,SMILES,LOG HLM_CLint (mL/min/kg),hlm_value_unscaled,hlm_value_unscaled_log1p,hlm_value_scaled,hlm_value_scaled_log1p,dataset,data_year
0,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
1,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
2,CN(c1ncc(F)cn1)[C@H]1CCCNC1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
3,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
4,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,0.996380313,9.91699999467014,2.390321206809916,9.91699999467014,2.390321206809916,fang_dataset,2023
5,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,1.397348966,24.965999989848434,3.2567879895471057,24.965999989848434,3.2567879895471057,fang_dataset,2023
6,CC(C)NCC(O)COc1cccc2ccccc12,1.327231598,21.243770352439487,3.1020619852493434,21.243770352439487,3.1020619852493434,fang_dataset,2023
7,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.458063445,28.711999978501535,3.3915510038867884,28.711999978501535,3.3915510038867884,fang_dataset,2023
8,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,2.7565,570.8210761718673,6.348826138551118,570.8210761718673,6.348826138551118,fang_dataset,2023
9,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,1.630824356,42.73899996093009,3.7782401517254813,42.73899996093009,3.7782401517254813,fang_dataset,2023
10,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,0.675686709,4.73900000328012,1.7472849796977745,4.73900000328012,1.7472849796977745,fang_dataset,2023
11,COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,1.198299609,15.787000001174611,2.8206047774102485,15.787000001174611,2.8206047774102485,fang_dataset,2023
12,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,2.004110625,100.95099992248878,4.62449230494185,100.95099992248878,4.62449230494185,fang_dataset,2023
13,CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1,1.884823674,76.70499995228427,4.352919604753513,76.70499995228427,4.352919604753513,fang_dataset,2023
14,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,1.155882358,14.31799999730268,2.7290286073113137,14.31799999730268,2.7290286073113137,fang_dataset,2023
15,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,1.564145072,36.656000013055355,3.6284923044455417,36.656000013055355,3.6284923044455417,fang_dataset,2023
