activity_id,molecule_chembl_id,smiles,structure_status,target_chembl_id,target_name,assay_chembl_id,document_chembl_id,data_year,standard_type,standard_relation,standard_value,standard_units,data_validity_comment,activity_comment,assay_type,assay_description,classification_text,classification_bucket
2148387,CHEMBL257557,COc1cc2nc(N3CCCN(C(=O)N4CCOCC4)CC3)cc(N)c2c(-c2ccc(F)cc2)c1OC,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL936620,CHEMBL1142226,2007,CL,=,154.0,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in human liver microsomes at 1 uM,unbound intrinsic clearance in human liver microsomes at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
2148403,CHEMBL401796,COc1cc2nc(N3CCc4c(cccc4NS(C)(=O)=O)C3)nc(N)c2c(-c2ccccn2)c1OC,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL936620,CHEMBL1142226,2007,CL,=,13.0,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in human liver microsomes at 1 uM,unbound intrinsic clearance in human liver microsomes at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
2148404,CHEMBL256507,COc1cc2nc(N3CCc4ncccc4C3)nc(N)c2c(-c2ncccn2)c1OC,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL936620,CHEMBL1142226,2007,CL,=,12.0,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in human liver microsomes at 1 uM,unbound intrinsic clearance in human liver microsomes at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
2148405,CHEMBL256951,COc1cc2nc(N3CCCN(C(=O)N4CCOCC4)CC3)cc(N)c2c(-c2ncco2)c1OC,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL936620,CHEMBL1142226,2007,CL,=,22.0,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in human liver microsomes at 1 uM,unbound intrinsic clearance in human liver microsomes at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
2148406,CHEMBL403582,COc1cc2nc(N3CCCN(C(=O)N4CCOCC4)CC3)nc(N)c2c(-c2ccccn2)c1OC,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL936620,CHEMBL1142226,2007,CL,=,34.0,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in human liver microsomes at 1 uM,unbound intrinsic clearance in human liver microsomes at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
2148407,CHEMBL254987,COc1cc2nc(N3CCCN(C(=O)N4CCOCC4)CC3)nc(N)c2cc1-c1ccccn1,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL936620,CHEMBL1142226,2007,CL,=,96.0,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in human liver microsomes at 1 uM,unbound intrinsic clearance in human liver microsomes at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
2148408,CHEMBL402898,COc1cc2nc(N3CCCN(C(=O)N4CCOCC4)CC3)cc(N)c2c(-c2ccccc2)c1OC,smiles_found,CHEMBL613373,Liver microsomes,CHEMBL936620,CHEMBL1142226,2007,CL,=,82.0,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in human liver microsomes at 1 uM,unbound intrinsic clearance in human liver microsomes at 1 um | | liver microsomes | ml.min-1.kg-1,chembl_hlm_unbound
6187306,CHEMBL1774924,Nc1nc2c(c(-c3c(Cl)cc(Cl)cc3OCCn3cccn3)n1)CN(C(=O)NC13CC(C1)C3)C2,smiles_found,CHEMBL613424,Plasma,CHEMBL1777312,CHEMBL1772974,2011,CL,=,115.0,mL.min-1.g-1,,,A,"Unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding","unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding | | plasma | ml.min-1.g-1",chembl_hlm_unbound
6187307,CHEMBL1774926,Nc1nc2c(c(-c3c(Cl)cc(Cl)cc3OCCn3cccn3)n1)CN(C(=O)NCC(F)(F)F)C2,smiles_found,CHEMBL613424,Plasma,CHEMBL1777312,CHEMBL1772974,2011,CL,=,26.0,mL.min-1.g-1,,,A,"Unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding","unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding | | plasma | ml.min-1.g-1",chembl_hlm_unbound
6187308,CHEMBL1738805,CC(F)(F)CNC(=O)N1Cc2nc(N)nc(-c3c(Cl)cc(Cl)cc3OCCn3cccn3)c2C1,smiles_found,CHEMBL613424,Plasma,CHEMBL1777312,CHEMBL1772974,2011,CL,=,25.0,mL.min-1.g-1,,,A,"Unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding","unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding | | plasma | ml.min-1.g-1",chembl_hlm_unbound
6187309,CHEMBL1774929,Nc1nc2c(c(-c3c(Cl)cc(Cl)cc3OCCn3cc(F)cn3)n1)CN(C(=O)NC13CC(C1)C3)C2,smiles_found,CHEMBL613424,Plasma,CHEMBL1777312,CHEMBL1772974,2011,CL,=,154.0,mL.min-1.g-1,,,A,"Unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding","unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding | | plasma | ml.min-1.g-1",chembl_hlm_unbound
6187310,CHEMBL1774930,Nc1nc2c(c(-c3c(Cl)cc(Cl)cc3OCCn3cc(F)cn3)n1)CN(C(=O)NCC(F)(F)F)C2,smiles_found,CHEMBL613424,Plasma,CHEMBL1777312,CHEMBL1772974,2011,CL,=,28.0,mL.min-1.g-1,,,A,"Unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding","unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding | | plasma | ml.min-1.g-1",chembl_hlm_unbound
6187311,CHEMBL1774931,Cc1cc(Cl)cc(OCCn2cc(F)cn2)c1-c1nc(N)nc2c1CN(C(=O)NCC(F)(F)F)C2,smiles_found,CHEMBL613424,Plasma,CHEMBL1777312,CHEMBL1772974,2011,CL,=,25.0,mL.min-1.g-1,,,A,"Unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding","unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding | | plasma | ml.min-1.g-1",chembl_hlm_unbound
6187312,CHEMBL1774932,CC(F)(F)CNC(=O)N1Cc2nc(N)nc(-c3c(Cl)cc(Cl)cc3OCCn3cc(F)cn3)c2C1,smiles_found,CHEMBL613424,Plasma,CHEMBL1777312,CHEMBL1772974,2011,CL,=,26.0,mL.min-1.g-1,,,A,"Unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding","unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding | | plasma | ml.min-1.g-1",chembl_hlm_unbound
6187313,CHEMBL1774933,Cc1cc(Cl)cc(OCCn2cc(F)cn2)c1-c1nc(N)nc2c1CN(C(=O)NCC(C)(F)F)C2,smiles_found,CHEMBL613424,Plasma,CHEMBL1777312,CHEMBL1772974,2011,CL,=,27.0,mL.min-1.g-1,,,A,"Unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding","unbound intrinsic clearance in human liver microsomes, calculated based on human plasma protein binding | | plasma | ml.min-1.g-1",chembl_hlm_unbound
