activity_id,molecule_chembl_id,smiles,structure_status,target_chembl_id,target_name,assay_chembl_id,document_chembl_id,data_year,standard_type,standard_relation,standard_value,standard_units,data_validity_comment,activity_comment,assay_type,assay_description,classification_text,classification_bucket
489476,CHEMBL341089,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccccc3)c2)C[C@H]1C(=O)NCC(F)(F)F,smiles_found,CHEMBL612558,ADMET,CHEMBL618995,CHEMBL1146635,2003,CL,=,332.0,mL.min-1.kg-1,,,A,Plasma clearance in human liver microsomes,plasma clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
490696,CHEMBL276081,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3cccc(Cl)c3)c2)C[C@H]1C(=O)NCC(F)(F)F,smiles_found,CHEMBL612558,ADMET,CHEMBL618989,CHEMBL1146635,2003,CL,=,307.0,mL.min-1.kg-1,,,A,Plasma clearance in human liver microsomes,plasma clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
491949,CHEMBL334379,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccc(F)c(F)c3F)c2)C[C@H]1C(=O)NCC(F)(F)F,smiles_found,CHEMBL612558,ADMET,CHEMBL618989,CHEMBL1146635,2003,CL,=,218.0,mL.min-1.kg-1,,,A,Plasma clearance in human liver microsomes,plasma clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
496475,CHEMBL127589,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccc(Cl)cc3)c2)C[C@H]1C(=O)NCC(F)(F)F,smiles_found,CHEMBL612558,ADMET,CHEMBL618989,CHEMBL1146635,2003,CL,=,229.0,mL.min-1.kg-1,,,A,Plasma clearance in human liver microsomes,plasma clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
501335,CHEMBL5483011,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O,smiles_found,CHEMBL612558,ADMET,CHEMBL618989,CHEMBL1146635,2003,CL,=,49.5,mL.min-1.kg-1,,,A,Plasma clearance in human liver microsomes,plasma clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
506132,CHEMBL444533,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccccc3)o2)C[C@H]1C(=O)NCC(F)(F)F,smiles_found,CHEMBL612558,ADMET,CHEMBL618989,CHEMBL1146635,2003,CL,=,238.0,mL.min-1.kg-1,,,A,Plasma clearance in human liver microsomes,plasma clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
771623,CHEMBL92404,C[C@H](O)[C@@H](CCOc1ccc2ccccc2c1)n1cnc(C(N)=O)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL618996,CHEMBL1148456,2004,CL,=,3.8,mL.min-1.kg-1,,,A,In vitro clearance in human liver microsomes,in vitro clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
775153,CHEMBL93280,Cn1c(CCC(=O)Nc2ccc3ccn(CC[C@H](CO)n4cnc(C(N)=O)c4)c3c2)nc2ccccc21,smiles_found,CHEMBL612558,ADMET,CHEMBL618996,CHEMBL1148456,2004,CL,=,123.0,mL.min-1.kg-1,,,A,In vitro clearance in human liver microsomes,in vitro clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
775163,CHEMBL328139,C[C@H](O)[C@@H](CCc1cccc(Cl)c1Cl)n1cnc(C(N)=O)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL618996,CHEMBL1148456,2004,CL,=,4.5,mL.min-1.kg-1,,,A,In vitro clearance in human liver microsomes,in vitro clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
783979,CHEMBL93560,C[C@H](O)[C@@H](CCc1cccc2ccccc12)n1cnc(C(N)=O)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL618996,CHEMBL1148456,2004,CL,=,45.0,mL.min-1.kg-1,,,A,In vitro clearance in human liver microsomes,in vitro clearance in human liver microsomes | | admet | ml.min-1.kg-1,chembl_hlm_unknown
1455289,CHEMBL185905,NC(=O)N(O)CCC#Cc1ccc(OCCN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL828361,CHEMBL1137052,2004,CL,=,15.0,mL.min-1.g-1,,,A,Metabolic clearance in human liver microsomes,metabolic clearance in human liver microsomes | | admet | ml.min-1.g-1,chembl_hlm_unknown
