SMILES_standardized,hlm_value_scaled_log10_epsilon_deduplicated,n_reps,y_std,y_min,y_max
Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,1.3031960574204888,1,,1.3031960574204888,1.3031960574204888
Brc1cc2c(cc1Cn1cncn1)OCCCO2,0.886265059,1,,0.886265059,0.886265059
Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,0.675686709,1,,0.675686709,0.675686709
Brc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,0.9150831016512004,1,,0.9150831016512004,0.9150831016512004
Brc1ccc2c(c1)CCCc1nnc([C@H]3CC[C@H](Oc4ccccn4)CC3)n1-2,0.966235624098582,1,,0.966235624098582,0.966235624098582
Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,2.081606511,1,,2.081606511,2.081606511
Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,0.2787536009528289,1,,0.2787536009528289,0.2787536009528289
Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,0.9030899869919436,1,,0.9030899869919436,0.9030899869919436
Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,0.8808135922807914,1,,0.8808135922807914,0.8808135922807914
Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,1.888409783,1,,1.888409783,1.888409783
C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,2.033182413729195,1,,2.033182413729195,2.033182413729195
C#CCC(C(=O)N[C@H](/C=C/C(=O)OCC)CC1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.3319315546395656,1,,1.3319315546395656,1.3319315546395656
C#CCC(CCCNC(=O)OC)C(=O)OCCOc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc([N-]S(C)(=O)=O)c3C)cc2)cc1,2.898483839831739,1,,2.898483839831739,2.898483839831739
C#CCC(CCCNC(=O)OC)C(=O)Oc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc([N-]S(C)(=O)=O)c3C)cc2)cc1,2.752355804153501,1,,2.752355804153501,2.752355804153501
C#CCCCCc1ccc(OCCCc2cc(C(=O)N(C)C)no2)cc1,1.9145398939732483,1,,1.9145398939732483,1.9145398939732483
C#CCCc1ccc(OCCCc2cc(C(=O)N(C)C)no2)cc1,1.793030053280389,1,,1.793030053280389,1.793030053280389
C#CCN(Cc1ccc(F)cc1)c1cc(C)c(NC(=O)OC)c(C)c1,1.7972675408307164,1,,1.7972675408307164,1.7972675408307164
C#CCN1C(=O)C(C)N(C)c2nc(Nc3cc(F)c([O-])c(F)c3)ncc21,0.9987648489255018,1,,0.9987648489255018,0.9987648489255018
C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCCC1C(=O)Nc1cnn(-c2ncccn2)c1,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,0.675686709,1,,0.675686709,0.675686709
