SMILES_standardized,SMILES,mol_id,dataset,hlm_value_scaled_log10_nan_deduplicated,n_reps,y_std,y_min,y_max
Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,E-0015653,openadmet_expansion_train,1.3031960574204888,1,,1.3031960574204888,1.3031960574204888
Brc1cc2c(cc1Cn1cncn1)OCCCO2,Brc1cc2c(cc1Cn1cncn1)OCCCO2,fang_1175,fang_dataset,0.886265059,1,,0.886265059,0.886265059
Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,fang_434,fang_dataset,0.675686709,1,,0.675686709,0.675686709
Brc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,Brc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,CHEMBL4746716,chembl_dataset,0.9150831016512004,1,,0.9150831016512004,0.9150831016512004
Brc1ccc2c(c1)CCCc1nnc([C@H]3CC[C@H](Oc4ccccn4)CC3)n1-2,Brc1ccc2c(c1)CCCc1nnc([C@H]3CC[C@H](Oc4ccccn4)CC3)n1-2,CHEMBL4799412,chembl_dataset,0.966235624098582,1,,0.966235624098582,0.966235624098582
Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,fang_2741,fang_dataset,2.081606511,1,,2.081606511,2.081606511
Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,E-0016409,openadmet_expansion_train,0.2787536009528289,1,,0.2787536009528289,0.2787536009528289
Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,E-0016963,openadmet_expansion_train,0.9030899869919436,1,,0.9030899869919436,0.9030899869919436
Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,E-0016408,openadmet_expansion_train,0.8808135922807914,1,,0.8808135922807914,0.8808135922807914
Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,fang_1862,fang_dataset,1.888409783,1,,1.888409783,1.888409783
C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,CHEMBL5567954,chembl_dataset,2.033182413729195,1,,2.033182413729195,2.033182413729195
C#CCC(C(=O)N[C@H](/C=C/C(=O)OCC)CC1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,CHEMBL141157,chembl_dataset,1.3319315546395656,1,,1.3319315546395656,1.3319315546395656
C#CCC(CCCNC(=O)OC)C(=O)OCCOc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc([N-]S(C)(=O)=O)c3C)cc2)cc1,C#CCC(CCCNC(=O)OC)C(=O)OCCOc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc(NS(C)(=O)=O)c3C)cc2)cc1,CHEMBL3114551,chembl_dataset,2.898483839831739,1,,2.898483839831739,2.898483839831739
C#CCC(CCCNC(=O)OC)C(=O)Oc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc([N-]S(C)(=O)=O)c3C)cc2)cc1,C#CCC(CCCNC(=O)OC)C(=O)Oc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc(NS(C)(=O)=O)c3C)cc2)cc1,CHEMBL3114545,chembl_dataset,2.752355804153501,1,,2.752355804153501,2.752355804153501
C#CCCCCc1ccc(OCCCc2cc(C(=O)N(C)C)no2)cc1,C#CCCCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,ASAP-0020904,openadmet_polaris,1.9145398939732483,1,,1.9145398939732483,1.9145398939732483
C#CCCc1ccc(OCCCc2cc(C(=O)N(C)C)no2)cc1,C#CCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,ASAP-0021070,openadmet_polaris,1.793030053280389,1,,1.793030053280389,1.793030053280389
C#CCN(Cc1ccc(F)cc1)c1cc(C)c(NC(=O)OC)c(C)c1,C#CCN(Cc1ccc(F)cc1)c1cc(C)c(NC(=O)OC)c(C)c1,CHEMBL5180351,chembl_dataset,1.7972675408307164,1,,1.7972675408307164,1.7972675408307164
C#CCN1C(=O)C(C)N(C)c2nc(Nc3cc(F)c([O-])c(F)c3)ncc21,C#CCN1C(=O)[C@H](C)N(C)c2nc(Nc3cc(F)c(O)c(F)c3)ncc21,CHEMBL5559444,chembl_dataset,0.9987648489255018,1,,0.9987648489255018,0.9987648489255018
C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,fang_295,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCCC1C(=O)Nc1cnn(-c2ncccn2)c1,C#CCN1CCC[C@H]1C(=O)Nc1cnn(-c2ncccn2)c1,fang_1086,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,fang_1777,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCN(Cc2nc([O-])cc(C(F)(F)F)n2)CC1,C#CCN1CCN(Cc2nc(O)cc(C(F)(F)F)n2)CC1,fang_1696,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)CCc1c(C)nn(C)c1C,C#CCNC(=O)CCc1c(C)nn(C)c1C,fang_1405,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,fang_192,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)Cc1coc(-c2ccccc2)n1,C#CCNC(=O)Cc1coc(-c2ccccc2)n1,fang_2395,fang_dataset,1.430268606,1,,1.430268606,1.430268606
C#CCNC(=O)Cc1coc2cc(OC)ccc12,C#CCNC(=O)Cc1coc2cc(OC)ccc12,fang_1228,fang_dataset,1.188647296,1,,1.188647296,1.188647296
C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,fang_1889,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)c1cc(C(C)C)nn1CC,C#CCNC(=O)c1cc(C(C)C)nn1CC,fang_971,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)c1ccc2c(c1)OCO2,C#CCNC(=O)c1ccc2c(c1)OCO2,fang_1586,fang_dataset,1.145755624,1,,1.145755624,1.145755624
C#CCNC(=O)c1cccc(C(=O)NC(Cc2ccccc2)C(=O)N(C)c2ccc3scnc3c2)c1,C#CCNC(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)c2ccc3scnc3c2)c1,CHEMBL5201787,chembl_dataset,1.7435818798459957,1,,1.7435818798459957,1.7435818798459957
C#CCOCC(C(=O)N1CC[C@@H]2C[C@@H]3CCCC(NC(=O)C(C)NC)C(=O)N3[C@@H]2C1)c1ccccc1,C#CCOCC(C(=O)N1CC[C@@H]2C[C@@H]3CCC[C@H](NC(=O)[C@H](C)NC)C(=O)N3[C@@H]2C1)c1ccccc1,CHEMBL3236383,chembl_dataset,1.1575664955251996,2,0.3056885620428303,0.9414120403735496,1.3737209506768495
C#CCOc1ccc(C(=O)[N-]N2CCCC2=O)cc1,C#CCOc1ccc(C(=O)NN2CCCC2=O)cc1,fang_1199,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCOc1ccc(OC)cc1C(N)=O,C#CCOc1ccc(OC)cc1C(N)=O,fang_1959,fang_dataset,1.139942023,1,,1.139942023,1.139942023
C#CCn1nnc2c(-c3nc(C)cs3)ncn2c1=O,C#CCn1nnc2c(-c3nc(C)cs3)ncn2c1=O,CHEMBL5400079,chembl_dataset,1.6419190141620157,2,0.5097008894187919,1.2815060588771734,2.002331969446858
C#CCn1nnc2c(-c3nccs3)ncn2c1=O,C#CCn1nnc2c(-c3nccs3)ncn2c1=O,CHEMBL5418433,chembl_dataset,1.4411413769261996,2,0.30307220906527743,1.2268369627069549,1.6554457911454443
C#CCn1nnc2c(C(N)=O)ncn2c1=O,C#CCn1nnc2c(C(N)=O)ncn2c1=O,CHEMBL4210151,chembl_dataset,1.3415326724846213,2,0.10162677670209133,1.2696716895284414,1.413393655440801
C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,fang_103,fang_dataset,1.842771446,1,,1.842771446,1.842771446
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc([O-])ccc4[C@H]3CC[C@@]21C,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,CHEMBL691,chembl_dataset,-3.456527968298488,1,,-3.456527968298488,-3.456527968298488
C#Cc1c[nH]nc1C(=O)N1CCN(Cc2cncc(Cl)c2)C2(CC2)C1,C#Cc1cn[nH]c1C(=O)N1CCN(Cc2cncc(Cl)c2)C2(CC2)C1,E-0014296,openadmet_expansion_train,1.4281347940287887,1,,1.4281347940287887,1.4281347940287887
C#Cc1cc(-c2ccc(C(=O)NCCOC)cc2)cc2cnccc12,C#Cc1cc(-c2ccc(C(=O)NCCOC)cc2)cc2cnccc12,E-0016274,openadmet_expansion_train,1.639486489268586,1,,1.639486489268586,1.639486489268586
C#Cc1cc(-c2ccc(OCCN(C)C)cc2)c2ccncc2c1,C#Cc1cc(-c2ccc(OCCN(C)C)cc2)c2ccncc2c1,E-0016026,openadmet_expansion_train,1.390935107103379,1,,1.390935107103379,1.390935107103379
C#Cc1cc(-c2ccc(OCCN(C)C)cc2)cc2cnccc12,C#Cc1cc(-c2ccc(OCCN(C)C)cc2)cc2cnccc12,E-0016025,openadmet_expansion_train,1.6180480967120927,1,,1.6180480967120927,1.6180480967120927
C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)c2ccncc2c1,C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)c2ccncc2c1,E-0015406,openadmet_expansion_train,1.4941545940184429,1,,1.4941545940184429,1.4941545940184429
