SMILES_standardized,SMILES,mol_id,dataset,hlm_value_scaled_log1p_deduplicated,n_reps,y_std,y_min,y_max
Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,E-0015653,openadmet_expansion_train,3.0492730404820207,1,,3.0492730404820207,3.0492730404820207
Brc1cc2c(cc1Cn1cncn1)OCCCO2,Brc1cc2c(cc1Cn1cncn1)OCCCO2,fang_1175,fang_dataset,2.1628631497582704,1,,2.1628631497582704,2.1628631497582704
Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,fang_434,fang_dataset,1.7472849796977743,1,,1.7472849796977743,1.7472849796977743
Brc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,Brc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,CHEMBL4746716,chembl_dataset,2.221808782966758,1,,2.221808782966758,2.221808782966758
Brc1ccc2c(c1)CCCc1nnc([C@H]3CC[C@H](Oc4ccccn4)CC3)n1-2,Brc1ccc2c(c1)CCCc1nnc([C@H]3CC[C@H](Oc4ccccn4)CC3)n1-2,CHEMBL4799412,chembl_dataset,2.327472808501825,1,,2.327472808501825,2.327472808501825
Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,fang_2741,fang_dataset,4.801328900196872,1,,4.801328900196872,4.801328900196872
Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,E-0016409,openadmet_expansion_train,1.0647107369924282,1,,1.0647107369924282,1.0647107369924282
Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,E-0016963,openadmet_expansion_train,2.19722457733622,1,,2.19722457733622,2.19722457733622
Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,E-0016408,openadmet_expansion_train,2.151762203259462,1,,2.151762203259462,2.151762203259462
Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,fang_1862,fang_dataset,4.361071092814566,1,,4.361071092814566,4.361071092814566
C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,CHEMBL5567954,chembl_dataset,4.690797271955528,1,,4.690797271955528,4.690797271955528
