SMILES_standardized,hlm_value_scaled_deduplicated,n_reps,y_std,y_min,y_max
Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,20.1,1,,20.1,20.1
Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,1.9,1,,1.9,1.9
Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,8.0,1,,8.0,8.0
Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,7.6,1,,7.6,7.6
C#Cc1c[nH]nc1C(=O)N1CCN(Cc2cncc(Cl)c2)C2(CC2)C1,26.8,1,,26.8,26.8
C#Cc1cc(-c2ccc(C(=O)NCCOC)cc2)cc2cnccc12,43.6,1,,43.6,43.6
C#Cc1cc(-c2ccc(OCCN(C)C)cc2)c2ccncc2c1,24.6,1,,24.6,24.6
C#Cc1cc(-c2ccc(OCCN(C)C)cc2)cc2cnccc12,41.5,1,,41.5,41.5
C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)c2ccncc2c1,31.2,1,,31.2,31.2
C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,23.9,1,,23.9,23.9
C#Cc1cc(N)n2nc(-c3ccccc3)cc2n1,165.0,1,,165.0,165.0
C#Cc1cccc(-c2ccc(OCCN3CCCCC3)cc2)c1,3.8,1,,3.8,3.8
C#Cc1cccc2c(C(=O)N3CCN(c4ccc(CN5CC(OC)C5)cc4)CC3)cn(C)c12,34.2,1,,34.2,34.2
C#Cc1cn(C)c(=O)c2[nH]c3cc(OCCN4CC5(COC5)C4)ccc3c12,6.1,1,,6.1,6.1
C#Cc1cnn2c(-c3ccc(OCCN4CCCCC4)c(F)c3)ccnc12,3.7,1,,3.7,3.7
C#Cc1cnn2cc(-c3ccc(C(N)=O)cc3)cnc12,1.1,1,,1.1,1.1
C#Cc1cnn2cc(-c3ccc(OCCN4CC5CCC(C4)O5)c(F)c3)ccc12,141.2,1,,141.2,141.2
C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)c(F)c3)ccc12,25.3,1,,25.3,25.3
C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)ccc12,17.9,1,,17.9,17.9
C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,7.3,1,,7.3,7.3
C(#CC1CC1)c1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,13.1,1,,13.1,13.1
C1=C(c2cc3ncc(-c4ccc(OCCN5CCCCC5)cc4)cn3n2)CCOC1,42.8,1,,42.8,42.8
C=Cc1cn(C)c(=O)c2[nH]c3cc(OCCN4CC5(COC5)C4)ccc3c12,6.4,1,,6.4,6.4
C=Cc1cncc(OC2CCN(C(=O)c3[nH]nc4cccnc34)CC2)c1,7.4,1,,7.4,7.4
C=Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,7.2,1,,7.2,7.2
CC#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,17.5,1,,17.5,17.5
CC#Cc1cc2ncc(-c3ccc(OCCN4CCCCC4)cc3)cn2n1,16.8,1,,16.8,16.8
CC#Cc1cnn2c(-c3ccc(OCCN4CCCCC4)c(F)c3)ccnc12,8.5,1,,8.5,8.5
CC#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,20.7,1,,20.7,20.7
CC(=O)N(CCN(C)C)c1ccc(-c2cc3cnccc3c(C)c2N)cc1,9.0,1,,9.0,9.0
CC(=O)N1CC(COc2cnn(-c3ccc4ccncc4c3)c2)C1,6.8,1,,6.8,6.8
CC(=O)N1CCC(OC2CCN(C(=O)c3[nH]ncc3-c3ccc4ncsc4c3)CC2)CC1,6.8,1,,6.8,6.8
CC(=O)N1CCN(C(=O)c2[nH]ncc2-c2ccc3ncsc3c2)CC1,5.3,1,,5.3,5.3
CC(=O)N1CCN(CCOc2cc3[nH]c4c(=O)n(C)ccc4c3cc2F)CC1,9.2,1,,9.2,9.2
CC(=O)N1CCN(CCOc2ccc(-c3cc4cnccc4c(C)c3N)cc2)CC1,52.3,1,,52.3,52.3
CC(=O)N1CCN(CCOc2ccc3c(c2)[nH]c2c(=O)n(C)ccc23)CC1,1.4,1,,1.4,1.4
CC(=O)NC1CN(CCOc2ccc(-c3cnc4c(C#N)cnn4c3)cc2)C1,0.7,1,,0.7,0.7
CC(=O)NCCCN(C)CCOc1ccc(-c2cc3cnccc3c(C)c2N)cc1,44.4,1,,44.4,44.4
CC(=O)NCCCn1ccc2c([nH]c3cc(F)ccc32)c1=O,4.9,1,,4.9,4.9
CC(=O)NCCOc1ccc(-c2cc(C)c3ccncc3c2)cc1,24.8,1,,24.8,24.8
CC(=O)NCCOc1ccc(-c2cc(C)cc3cnccc23)cc1,26.7,1,,26.7,26.7
CC(=O)NCCOc1cnn(-c2ccc3ccncc3c2)c1,7.6,1,,7.6,7.6
CC(=O)NCCn1ccc2c([nH]c3cc(F)ccc32)c1=O,2.1,1,,2.1,2.1
CC(=O)NCc1cccc(Nc2cccc(-c3cccnc3)n2)n1,9.0,1,,9.0,9.0
CC(=O)N[C@@H](C)CCOc1cccc(-c2ccc3ccncc3c2)c1,35.2,1,,35.2,35.2
CC(=O)N[C@@H](C)COc1ccc(-c2ccc3cnccc3c2)cc1,24.8,1,,24.8,24.8
CC(=O)N[C@@H](C)COc1ccc(N)c(-c2cc(-c3ccncc3)ccn2)c1,10.6,1,,10.6,10.6
CC(=O)N[C@@H](C)COc1ccc([N+](=O)[O-])c(-c2cc(-c3ccncc3)ccn2)c1,11.8,1,,11.8,11.8
CC(=O)N[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,30.8,1,,30.8,30.8
CC(=O)N[C@@H](C)COc1ccc2sc3c(c2c1)SCCN(C)C3=O,6.7,1,,6.7,6.7
CC(=O)N[C@@H](C)COc1ccc2sc3c(c2c1)SCCNC3=O,0.0,1,,0.0,0.0
CC(=O)N[C@@H](C)COc1cccc(-c2cc(C)c3ccncc3c2)c1,45.4,1,,45.4,45.4
CC(=O)N[C@@H](C)COc1cccc(-c2ccc3c(c2)NC(=O)CC3)c1,67.3,1,,67.3,67.3
CC(=O)N[C@@H](C)COc1cccc(-c2ccc3c(c2)NC(=O)CC3)n1,95.2,1,,95.2,95.2
CC(=O)N[C@@H](C)COc1cccc(-c2ccc3c(c2)NC(=O)CO3)c1,16.1,1,,16.1,16.1
CC(=O)N[C@@H](C)COc1cccc(-c2ccc3cnccc3c2)c1,62.6,1,,62.6,62.6
CC(=O)N[C@@H](C)COc1cccc(-c2ccc3cnccc3c2)n1,85.0,1,,85.0,85.0
CC(=O)N[C@H](C)CCOc1cccc(-c2cc(C)c3ccncc3c2)c1,104.9,1,,104.9,104.9
CC(=O)N[C@H](C)CCOc1cccc(-c2ccc3ccncc3c2)c1,62.3,1,,62.3,62.3
CC(=O)N[C@H](C)COc1ccc(-c2ccc3cnccc3c2)cc1,36.6,1,,36.6,36.6
CC(=O)N[C@H](C)COc1ccc(N)c(-c2cc(-c3ccncc3)ccn2)c1,16.3,1,,16.3,16.3
CC(=O)N[C@H](C)COc1ccc([N+](=O)[O-])c(-c2cc(-c3ccncc3)ccn2)c1,54.1,1,,54.1,54.1
CC(=O)N[C@H](C)COc1cccc(-c2ccc3c(c2)NC(=O)CC3)c1,16.2,1,,16.2,16.2
CC(=O)N[C@H](C)COc1cccc(-c2ccc3c(c2)NC(=O)CC3)n1,62.8,1,,62.8,62.8
CC(=O)N[C@H](C)COc1cccc(-c2ccc3cnccc3c2)c1,50.1,1,,50.1,50.1
CC(=O)N[C@H](C)COc1cccc(-c2ccc3cnccc3c2)n1,82.9,1,,82.9,82.9
CC(=O)Nc1c(-c2ccc(OCCN3CCCCC3)c(F)c2)cc2cnccc2c1C,41.2,1,,41.2,41.2
CC(=O)Nc1c(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc2c1C,16.5,1,,16.5,16.5
CC(=O)Nc1cc(Nc2cccc(-c3cccnc3)n2)ccn1,91.1,1,,91.1,91.1
CC(=O)Nc1cc2ccncc2cc1-c1ccc(OCCN2CCCCC2)cc1,9.2,1,,9.2,9.2
CC(=O)Nc1ccc(Nc2cc(N)n3nccc3n2)cc1,9.6,1,,9.6,9.6
CC(=O)Nc1ccc(Nc2nccc(-c3cccc(F)c3)n2)cc1,93.4,1,,93.4,93.4
CC(=O)Nc1cccc(-c2ccnc(Nc3ccc(CC(N)=O)cc3)n2)c1,5.9,1,,5.9,5.9
CC(=O)Nc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,63.5,1,,63.5,63.5
CC(=O)Nc1cccc(Nc2cc(-c3cccc(F)c3)ccn2)n1,67.6,1,,67.6,67.6
CC(=O)Nc1cccc(Nc2cc(-c3cccnc3)ccn2)n1,36.0,1,,36.0,36.0
CC(=O)Nc1cccc(Nc2cccc(-c3cccc(F)c3)n2)n1,61.8,1,,61.8,61.8
CC(=O)Nc1cccc(Nc2cccc(-c3cccnc3)n2)n1,33.8,1,,33.8,33.8
CC(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)n1,32.4,1,,32.4,32.4
CC(=O)Nc1ccnc(Nc2cccc(-c3cccnc3)n2)c1,132.8,1,,132.8,132.8
CC(=O)Nc1cncc(Nc2cccc(-c3cccnc3)n2)c1,70.0,1,,70.0,70.0
CC(=O)c1cn(C)c(=O)c2[nH]c3cc(OCCN4CC5(COC5)C4)ccc3c12,2.4,1,,2.4,2.4
CC(C(N)=O)c1cccc(Nc2cccc(-c3cccnc3)n2)n1,8.0,1,,8.0,8.0
CC(C(N)=O)n1cc(N(C)c2cccc(-c3cccc(S(C)(=O)=O)c3)n2)cn1,8.4,1,,8.4,8.4
CC(C)(C(N)=O)c1cccc(Nc2cccc(-c3cccnc3)n2)n1,8.3,1,,8.3,8.3
CC(C)(C)OC(=O)N1CC=C(c2c[nH]nc2C(=O)N2CCC(Oc3ccc(Cl)cc3)CC2)CC1,1981.3,1,,1981.3,1981.3
CC(C)(CCOc1ccc(-c2ccc3ccncc3c2)cc1)C(N)=O,5.3,1,,5.3,5.3
CC(C)(Nc1cc(-c2ccccc2)[n-]c(=O)n1)c1ccccc1,0.2,1,,0.2,0.2
CC(C)(O)COC1CCN(C(=O)c2[nH]ncc2-c2ccc3ncsc3c2)CC1,5.7,1,,5.7,5.7
CC(C)C#Cc1c[nH]nc1C(=O)N1CCC(Oc2ccc(Cl)cc2)CC1,57.0,1,,57.0,57.0
CC(C)C(=O)Nc1cccc(Nc2cccc(-c3cccnc3)n2)n1,52.9,1,,52.9,52.9
CC(C)COc1ccc2c(c1)c1ccn(CCCN3CCCCC3)c(=O)c1n2C,51.1,1,,51.1,51.1
CC(C)COc1ccc2c(c1)c1ncn(C[C@@H]3CCCN(C)C3)c(=O)c1n2C,69.4,1,,69.4,69.4
CC(C)Cn1ccc2c([nH]c3cc(OCCN4CCCCC4)ccc32)c1=O,10.4,1,,10.4,10.4
CC(C)N(C)CCOc1ccc(-c2ccc3ccncc3c2)cc1,4.3,1,,4.3,4.3
CC(C)N(C)CCn1ccc2c([nH]c3cc(F)ccc32)c1=O,7.0,1,,7.0,7.0
CC(C)N(CCn1ccc2c([nH]c3cc(F)ccc32)c1=O)C(C)C,39.9,1,,39.9,39.9
CC(C)N1CC(Oc2ccc(-c3cnc4c(C#N)cnn4c3)cc2)C1,3.7,1,,3.7,3.7
CC(C)N1CCC(OC2CCN(C(=O)c3[nH]ncc3-c3ccc4ncsc4c3)CC2)CC1,3.7,1,,3.7,3.7
CC(C)N1CCC(Oc2ccc(-c3cnc4c(C#N)cnn4c3)cc2)CC1,0.1,1,,0.1,0.1
CC(C)N1CCC(Oc2ccc3c(c2)[nH]c2c(=O)n(C)ccc23)C1,4.6,1,,4.6,4.6
CC(C)N1CCN(CCOc2ccc3c([nH]c4c(=O)n(C)ccc43)c2F)CC1,3.6,1,,3.6,3.6
CC(C)N1CCN(CCOc2ccc3c(c2)[nH]c2c(=O)n(C)ccc23)CC1,2.3,1,,2.3,2.3
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncc(-c5cccc(F)c5)cn4)cc3)n2)CC1,61.9,1,,61.9,61.9
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncc(-c5ccccc5)cn4)cc3)n2)CC1,50.4,1,,50.4,50.4
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncc(-c5cccnc5)cn4)cc3)n2)CC1,247.7,1,,247.7,247.7
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncc5cccc(Cl)c5n4)cc3)n2)CC1,65.1,1,,65.1,65.1
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncccn4)cc3)n2)CC1,12.0,1,,12.0,12.0
CC(C)N1CC[C@@H](Oc2ccc(-c3cnc4c(C#N)cnn4c3)cc2)C1,42.7,1,,42.7,42.7
CC(C)N1CC[C@H](Oc2ccc(-c3cnc4c(C#N)cnn4c3)cc2)C1,5.2,1,,5.2,5.2
CC(C)NCCCn1ccc2c([nH]c3cc(F)ccc32)c1=O,10.5,1,,10.5,10.5
CC(C)NCCOc1ccc(-c2cc3cnccc3cn2)cc1,2.6,1,,2.6,2.6
CC(C)NCCOc1ccc(-c2ccc3ccncc3c2)cc1,2.4,1,,2.4,2.4
CC(C)NCCOc1ccc(-c2ccc3ccncc3n2)cc1,0.0,1,,0.0,0.0
CC(C)NCCOc1ccc(-c2ccc3ncncc3c2)cc1,0.2,1,,0.2,0.2
CC(C)NCCn1ccc2c([nH]c3cc(F)ccc32)c1=O,11.9,1,,11.9,11.9
CC(C)NCCn1ccc2c3ccc(F)cc3n(C)c2c1=O,20.7,1,,20.7,20.7
CC(C)N[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,17.9,1,,17.9,17.9
CC(C)Nc1cc2ccncc2cc1-c1ccc(OCCN2CCCCC2)cc1,42.6,1,,42.6,42.6
CC(C)Nc1ccc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)cn1,25.4,1,,25.4,25.4
CC(C)Oc1cc(-c2ccc(OCCN3CCCCC3)cc2)c2ccncc2c1,66.8,1,,66.8,66.8
CC(C)Oc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,25.5,1,,25.5,25.5
CC(C)Oc1cncc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,17.6,1,,17.6,17.6
CC(C)[N+](C)(C)CCn1ccc2c([nH]c3cc(F)ccc32)c1=O,2.1,1,,2.1,2.1
CC(C)c1c[nH]nc1C(=O)N1CCC(Oc2ccc(Cl)cc2)CC1,33.2,1,,33.2,33.2
CC(C)c1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,53.0,1,,53.0,53.0
CC(C)c1cc(N)n2nc(-c3ccccc3)cc2n1,295.9,1,,295.9,295.9
CC(C)c1ccc(CNc2cc(-c3ccccc3)[n-]c(=O)n2)cc1,33.9,1,,33.9,33.9
