SMILES_standardized,hlm_value_scaled_log10_epsilon_deduplicated,n_reps,y_std,y_min,y_max
Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,1.3031960574204888,1,,1.3031960574204888,1.3031960574204888
Brc1cc2c(cc1Cn1cncn1)OCCCO2,0.886265059,1,,0.886265059,0.886265059
Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,0.675686709,1,,0.675686709,0.675686709
Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,2.081606511,1,,2.081606511,2.081606511
Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,0.2787536009528289,1,,0.2787536009528289,0.2787536009528289
Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,0.9030899869919436,1,,0.9030899869919436,0.9030899869919436
Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,0.8808135922807914,1,,0.8808135922807914,0.8808135922807914
Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,1.888409783,1,,1.888409783,1.888409783
C#CCN(Cc1ccc(F)cc1)c1cc(C)c(NC(=O)OC)c(C)c1,1.7972675408307164,1,,1.7972675408307164,1.7972675408307164
C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCCC1C(=O)Nc1cnn(-c2ncccn2)c1,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCN(Cc2nc([O-])cc(C(F)(F)F)n2)CC1,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)CCc1c(C)nn(C)c1C,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)Cc1coc(-c2ccccc2)n1,1.430268606,1,,1.430268606,1.430268606
C#CCNC(=O)Cc1coc2cc(OC)ccc12,1.188647296,1,,1.188647296,1.188647296
C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)c1cc(C(C)C)nn1CC,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)c1ccc2c(c1)OCO2,1.145755624,1,,1.145755624,1.145755624
C#CCOc1ccc(C(=O)[N-]N2CCCC2=O)cc1,0.675686709,1,,0.675686709,0.675686709
C#CCOc1ccc(OC)cc1C(N)=O,1.139942023,1,,1.139942023,1.139942023
C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,1.842771446,1,,1.842771446,1.842771446
C#Cc1c[nH]nc1C(=O)N1CCN(Cc2cncc(Cl)c2)C2(CC2)C1,1.4281347940287887,1,,1.4281347940287887,1.4281347940287887
C#Cc1cc(-c2ccc(C(=O)NCCOC)cc2)cc2cnccc12,1.639486489268586,1,,1.639486489268586,1.639486489268586
