SMILES_standardized,SMILES,mol_id,dataset,hlm_value_scaled_log10_nan_deduplicated,n_reps,y_std,y_min,y_max
Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,E-0015653,openadmet_expansion_train,1.3031960574204888,1,,1.3031960574204888,1.3031960574204888
Brc1cc2c(cc1Cn1cncn1)OCCCO2,Brc1cc2c(cc1Cn1cncn1)OCCCO2,fang_1175,fang_dataset,0.886265059,1,,0.886265059,0.886265059
Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,fang_434,fang_dataset,0.675686709,1,,0.675686709,0.675686709
Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,fang_2741,fang_dataset,2.081606511,1,,2.081606511,2.081606511
Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,E-0016409,openadmet_expansion_train,0.2787536009528289,1,,0.2787536009528289,0.2787536009528289
Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,E-0016963,openadmet_expansion_train,0.9030899869919436,1,,0.9030899869919436,0.9030899869919436
Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,E-0016408,openadmet_expansion_train,0.8808135922807914,1,,0.8808135922807914,0.8808135922807914
Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,fang_1862,fang_dataset,1.888409783,1,,1.888409783,1.888409783
C#CCN(Cc1ccc(F)cc1)c1cc(C)c(NC(=O)OC)c(C)c1,C#CCN(Cc1ccc(F)cc1)c1cc(C)c(NC(=O)OC)c(C)c1,CHEMBL5180351,chembl_dataset,1.7972675408307164,1,,1.7972675408307164,1.7972675408307164
C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,fang_295,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCCC1C(=O)Nc1cnn(-c2ncccn2)c1,C#CCN1CCC[C@H]1C(=O)Nc1cnn(-c2ncccn2)c1,fang_1086,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,fang_1777,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCN(Cc2nc([O-])cc(C(F)(F)F)n2)CC1,C#CCN1CCN(Cc2nc(O)cc(C(F)(F)F)n2)CC1,fang_1696,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)CCc1c(C)nn(C)c1C,C#CCNC(=O)CCc1c(C)nn(C)c1C,fang_1405,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,fang_192,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)Cc1coc(-c2ccccc2)n1,C#CCNC(=O)Cc1coc(-c2ccccc2)n1,fang_2395,fang_dataset,1.430268606,1,,1.430268606,1.430268606
C#CCNC(=O)Cc1coc2cc(OC)ccc12,C#CCNC(=O)Cc1coc2cc(OC)ccc12,fang_1228,fang_dataset,1.188647296,1,,1.188647296,1.188647296
C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,fang_1889,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)c1cc(C(C)C)nn1CC,C#CCNC(=O)c1cc(C(C)C)nn1CC,fang_971,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)c1ccc2c(c1)OCO2,C#CCNC(=O)c1ccc2c(c1)OCO2,fang_1586,fang_dataset,1.145755624,1,,1.145755624,1.145755624
C#CCOc1ccc(C(=O)[N-]N2CCCC2=O)cc1,C#CCOc1ccc(C(=O)NN2CCCC2=O)cc1,fang_1199,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCOc1ccc(OC)cc1C(N)=O,C#CCOc1ccc(OC)cc1C(N)=O,fang_1959,fang_dataset,1.139942023,1,,1.139942023,1.139942023
C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,fang_103,fang_dataset,1.842771446,1,,1.842771446,1.842771446
C#Cc1c[nH]nc1C(=O)N1CCN(Cc2cncc(Cl)c2)C2(CC2)C1,C#Cc1cn[nH]c1C(=O)N1CCN(Cc2cncc(Cl)c2)C2(CC2)C1,E-0014296,openadmet_expansion_train,1.4281347940287887,1,,1.4281347940287887,1.4281347940287887
C#Cc1cc(-c2ccc(C(=O)NCCOC)cc2)cc2cnccc12,C#Cc1cc(-c2ccc(C(=O)NCCOC)cc2)cc2cnccc12,E-0016274,openadmet_expansion_train,1.639486489268586,1,,1.639486489268586,1.639486489268586
C#Cc1cc(-c2ccc(OCCN(C)C)cc2)c2ccncc2c1,C#Cc1cc(-c2ccc(OCCN(C)C)cc2)c2ccncc2c1,E-0016026,openadmet_expansion_train,1.390935107103379,1,,1.390935107103379,1.390935107103379
C#Cc1cc(-c2ccc(OCCN(C)C)cc2)cc2cnccc12,C#Cc1cc(-c2ccc(OCCN(C)C)cc2)cc2cnccc12,E-0016025,openadmet_expansion_train,1.6180480967120927,1,,1.6180480967120927,1.6180480967120927
C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)c2ccncc2c1,C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)c2ccncc2c1,E-0015406,openadmet_expansion_train,1.4941545940184429,1,,1.4941545940184429,1.4941545940184429
C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,E-0015405,openadmet_expansion_train,1.3783979009481375,1,,1.3783979009481375,1.3783979009481375
C#Cc1cc(N)n2nc(-c3ccccc3)cc2n1,C#Cc1cc(N)n2nc(-c3ccccc3)cc2n1,E-0011834,openadmet_expansion_train,2.2174839442139063,1,,2.2174839442139063,2.2174839442139063
C#Cc1cccc(-c2ccc(OCCN3CCCCC3)cc2)c1,C#Cc1cccc(-c2ccc(OCCN3CCCCC3)cc2)c1,E-0016139,openadmet_expansion_train,0.5797835966168101,1,,0.5797835966168101,0.5797835966168101
C#Cc1cccc(N(CC(=O)NC(N)=O)Cc2cccs2)c1,C#Cc1cccc(N(CC(=O)NC(N)=O)Cc2cccs2)c1,fang_2652,fang_dataset,1.585990584,1,,1.585990584,1.585990584
C#Cc1cccc(N(CCC(=O)NC(N)=O)Cc2cccs2)c1,C#Cc1cccc(N(CCC(=O)NC(N)=O)Cc2cccs2)c1,fang_2122,fang_dataset,1.710633471,1,,1.710633471,1.710633471
C#Cc1cccc2c(C(=O)N3CCN(c4ccc(CN5CC(OC)C5)cc4)CC3)cn(C)c12,C#Cc1cccc2c(C(=O)N3CCN(c4ccc(CN5CC(OC)C5)cc4)CC3)cn(C)c12,E-0014316,openadmet_expansion_train,1.534026106056135,1,,1.534026106056135,1.534026106056135
C#Cc1cn(C)c(=O)c2[nH]c3cc(OCCN4CC5(COC5)C4)ccc3c12,C#Cc1cn(C)c(=O)c2[nH]c3cc(OCCN4CC5(COC5)C4)ccc3c12,E-0017565,openadmet_expansion_train,0.785329835010767,1,,0.785329835010767,0.785329835010767
C#Cc1cnn2c(-c3ccc(OCCN4CCCCC4)c(F)c3)ccnc12,C#Cc1cnn2c(-c3ccc(OCCN4CCCCC4)c(F)c3)ccnc12,E-0017351,openadmet_expansion_train,0.568201724066995,1,,0.568201724066995,0.568201724066995
C#Cc1cnn2cc(-c3ccc(C(N)=O)cc3)cnc12,C#Cc1cnn2cc(-c3ccc(C(N)=O)cc3)cnc12,E-0017357,openadmet_expansion_train,0.041392685158225,1,,0.041392685158225,0.041392685158225
C#Cc1cnn2cc(-c3ccc(OCCN4CC5CCC(C4)O5)c(F)c3)ccc12,C#Cc1cnn2cc(-c3ccc(OCCN4CC5CCC(C4)O5)c(F)c3)ccc12,E-0017355,openadmet_expansion_train,2.149834696715785,1,,2.149834696715785,2.149834696715785
C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)c(F)c3)ccc12,C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)c(F)c3)ccc12,E-0017256,openadmet_expansion_train,1.403120521175818,1,,1.403120521175818,1.403120521175818
C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)ccc12,C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)ccc12,E-0017254,openadmet_expansion_train,1.252853030979893,1,,1.252853030979893,1.252853030979893
C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,E-0016669,openadmet_expansion_train,0.8633228601204559,1,,0.8633228601204559,0.8633228601204559
C(#CC1CC1)c1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,C(#CC1CC1)c1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,E-0015606,openadmet_expansion_train,1.1172712956557642,1,,1.1172712956557642,1.1172712956557642
C(=C/c1ccccc1)\CNCc1ccc2c(c1)OCO2,C(=C/c1ccccc1)\CNCc1ccc2c(c1)OCO2,fang_1470,fang_dataset,1.590016582,1,,1.590016582,1.590016582
C/C(=C/COc1c2occc2cc2ccc(=O)oc12)CO,C/C(=C/COc1c2occc2cc2ccc(=O)oc12)CO,fang_1936,fang_dataset,1.261286665,1,,1.261286665,1.261286665
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4c(Cl)cccn34)cc2COc2cc(F)ccc21)c1noc(=O)[n-]1,C/C(=C1/c2ccc(Cc3c(C4CC4)nc4c(Cl)cccn34)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,CHEMBL4570541,chembl_dataset,1.5643109099606027,1,,1.5643109099606027,1.5643109099606027
C/C(=C1/c2ccc(Cc3c(C4CC4)nc4c5c(ccn34)OCC5)cc2COc2cc(F)ccc21)c1noc(=O)[n-]1,C/C(=C1/c2ccc(Cc3c(C4CC4)nc4c5c(ccn34)OCC5)cc2COc2cc(F)ccc21)c1noc(=O)[nH]1,CHEMBL4540607,chembl_dataset,1.52283531366053,1,,1.52283531366053,1.52283531366053
