Unnamed: 0,mol_id,SMILES,hlm_value_unscaled,hlm_value_unscaled_log1p,hlm_value_scaled,hlm_value_scaled_log1p,dataset,scaling_was_applied,SMILES_standardized,SMILES_std_reason
3490,E-0001321,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,56.4,4.050044303325521,56.4,4.050044303325521,openadmet_expansion_train,False,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc([O-])cc6)nc5c4)ccc3[nH]2)cc1,
3491,E-0001780,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,160.4,5.083885755835849,160.4,5.083885755835849,openadmet_expansion_train,False,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,
3492,E-0002019,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,9.5,2.3513752571634776,9.5,2.3513752571634776,openadmet_expansion_train,False,CN(C)CCCOc1ccc(-c2nc3cc(C(=O)Nc4ccc5nc(-c6ccc(OCCCN(C)C)cc6)[nH]c5c4)ccc3[nH]2)cc1,
3493,E-0002269,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,18.9,2.990719731730447,18.9,2.990719731730447,openadmet_expansion_train,False,CN(C)CC(O)COc1ccc2[nH]c(-c3ccc(-c4nc5cc(OCC(O)CN(C)C)ccc5[nH]4)c(F)c3)nc2c1,
3494,E-0002284,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,14.9,2.766319109226186,14.9,2.766319109226186,openadmet_expansion_train,False,COc1ccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,
3495,E-0002290,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,15.0,2.772588722239781,15.0,2.772588722239781,openadmet_expansion_train,False,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,
3496,E-0002377,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,243.3,5.498396978263695,243.3,5.498396978263695,openadmet_expansion_train,False,COc1ccc2[nH]c(-c3ccc(-c4nc5ccc(OCCCC(N)=[NH2+])cc5[n-]4)cc3)nc2c1,
3497,E-0003046,CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,8.8,2.2823823856765264,8.8,2.2823823856765264,openadmet_expansion_train,False,CN(C)C1CCN(c2ccc3[nH]c(-c4ccc(-c5nc6cc(N7CCC(N(C)C)CC7)ccc6[nH]5)cc4)nc3c2)CC1,
3498,E-0003079,CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,7.4,2.128231705849268,7.4,2.128231705849268,openadmet_expansion_train,False,CN(C)CCCOc1ccc2[nH]c(-c3cccc4[nH]c(-c5ccncc5)nc34)nc2c1,
3499,E-0003089,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,14.2,2.7212954278522306,14.2,2.7212954278522306,openadmet_expansion_train,False,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,
3500,E-0003090,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,18.9,2.990719731730447,18.9,2.990719731730447,openadmet_expansion_train,False,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,
3501,E-0010021,CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,9.9,2.388762789235098,9.9,2.388762789235098,openadmet_expansion_train,False,CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,
3502,E-0010022,CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,15.6,2.8094026953624978,15.6,2.8094026953624978,openadmet_expansion_train,False,CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,
3503,E-0010025,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,9.3,2.33214389523559,9.3,2.33214389523559,openadmet_expansion_train,False,O=C(NCc1cn[n-]c1)Nc1ccc2nnsc2c1,
