,CXSMILES,HLM,Molecule Name,Set,hlm_value_unscaled,hlm_value_unscaled_log10,hlm_value_scaled_high,hlm_value_scaled_low,hlm_value_scaled_log10_high,hlm_value_scaled_log10_low,dataset,data_year
0,CN(C1=CC=C2CNCC2=C1)[C@H](C(=O)NCC(F)F)C1=CC(Cl)=CC(C2CC2)=C1 |&1:11|,17.1,ASAP-0031351,Train,17.1,1.2576785748691846,17.5788,14.364,1.2690176595925797,1.1865042984931387,openadmet_polaris,2025
1,N#CC1=CC2=C(C=C1NC(=O)C1=CC(F)=CC3=C1C=NN3)CNC2,16.7,ASAP-0031265,Train,16.7,1.2479732663618066,17.1676,14.027999999999999,1.2592975593608895,1.176901186391347,openadmet_polaris,2025
2,O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC(C2=CNN=C2)=C1,36.3,ASAP-0031004,Train,36.3,1.5717088318086876,37.316399999999994,30.491999999999997,1.5833846983819857,1.4982002427699819,openadmet_polaris,2025
3,COCCNC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1 |o1:7|,19.7,ASAP-0030761,Train,19.7,1.3159703454569178,20.2516,16.548,1.327391632975154,1.2442276257329075,openadmet_polaris,2025
4,O=C(NC1=CC(Br)=C2CNCC2=C1)C1=CC(F)=CC2=C1C=NN2,13.6,ASAP-0030792,Train,13.6,1.1643528557844371,13.9808,11.424,1.17553500604092,1.0942614427205022,openadmet_polaris,2025
5,CC(C)NC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1N=C(C1=CC=CC=C1)N2 |&1:6|,23.2,ASAP-0030826,Train,23.2,1.3838153659804313,23.8496,19.488,1.3953194023574431,1.3114995654603732,openadmet_polaris,2025
6,O=C(NC1=CC2=C(C=C1Br)CNC2)C1=CC(F)=CC2=C1C=NN2,11.4,ASAP-0030085,Train,11.4,1.0934216851622351,11.7192,9.576,1.1044597963350657,1.024321442141565,openadmet_polaris,2025
7,O=C(NC1=CC=C2CNCC2=C1)C1=CC=CC2=C1C=C(C(F)(F)F)N2,14.1,ASAP-0030028,Train,14.1,1.1789769472931695,14.4948,11.844,1.1901859749310975,1.1087002968944648,openadmet_polaris,2025
8,CC1=C(C(=O)NC2=CC([C@H]3CCOC3)=CC=N2)C=C(C2CC2)N1C |&1:9|,57.7,ASAP-0029521,Train,57.7,1.7686381012476144,59.3156,48.468,1.78042965240054,1.6943243521163103,openadmet_polaris,2025
9,O=C(NC1=CC=C2CNCC2=C1)C1=CC(Br)=CC2=C1N=C(C1=CC=CC=C1)N2,12.8,ASAP-0029352,Train,12.8,1.1398790864012365,13.1584,10.752,1.1510141777582517,1.0701117827822002,openadmet_polaris,2025
