,Molecule Name,SMILES,HLM CLint,hlm_value_unscaled,hlm_value_unscaled_log10,hlm_value_scaled_log10_high,hlm_value_scaled_log10_low,dataset,data_year
0,E-0001321,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,56.4,56.4,1.7589118923979734,1.7589118923979734,1.7589118923979734,openadmet_expansion_train,2026
1,E-0001780,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,160.4,160.4,2.2079035303860515,2.2079035303860515,2.2079035303860515,openadmet_expansion_train,2026
2,E-0002019,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,9.5,9.5,1.021189299069938,1.021189299069938,1.021189299069938,openadmet_expansion_train,2026
3,E-0002269,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,18.9,18.9,1.2988530764097066,1.2988530764097066,1.2988530764097066,openadmet_expansion_train,2026
4,E-0002284,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,14.9,14.9,1.2013971243204515,1.2013971243204515,1.2013971243204515,openadmet_expansion_train,2026
5,E-0002290,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,15.0,15.0,1.2041199826559248,1.2041199826559248,1.2041199826559248,openadmet_expansion_train,2026
6,E-0002377,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,243.3,243.3,2.3879234669734366,2.3879234669734366,2.3879234669734366,openadmet_expansion_train,2026
7,E-0003046,CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,8.8,8.8,0.9912260756924949,0.9912260756924949,0.9912260756924949,openadmet_expansion_train,2026
8,E-0003079,CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,7.4,7.4,0.9242792860618817,0.9242792860618817,0.9242792860618817,openadmet_expansion_train,2026
9,E-0003089,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,14.2,14.2,1.1818435879447726,1.1818435879447726,1.1818435879447726,openadmet_expansion_train,2026
10,E-0003090,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,18.9,18.9,1.2988530764097066,1.2988530764097066,1.2988530764097066,openadmet_expansion_train,2026
11,E-0010021,CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,9.9,9.9,1.0374264979406236,1.0374264979406236,1.0374264979406236,openadmet_expansion_train,2026
12,E-0010022,CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,15.6,15.6,1.2201080880400552,1.2201080880400552,1.2201080880400552,openadmet_expansion_train,2026
13,E-0010025,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,9.3,9.3,1.0128372247051722,1.0128372247051722,1.0128372247051722,openadmet_expansion_train,2026
14,E-0010059,CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,9.1,9.1,1.0043213737826426,1.0043213737826426,1.0043213737826426,openadmet_expansion_train,2026
15,E-0010060,O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,54.4,54.4,1.7435097647284297,1.7435097647284297,1.7435097647284297,openadmet_expansion_train,2026
16,E-0010071,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,173.4,173.4,2.2415464805965484,2.2415464805965484,2.2415464805965484,openadmet_expansion_train,2026
17,E-0010120,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,15.8,15.8,1.2253092817258628,1.2253092817258628,1.2253092817258628,openadmet_expansion_train,2026
18,E-0010121,NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,123.2,123.2,2.0941215958405612,2.0941215958405612,2.0941215958405612,openadmet_expansion_train,2026
19,E-0010358,Cc1c2ccncc2cc2c3cc(OCCCN4CCOCC4)ccc3n(C)c12,10.7,10.7,1.0681858617461617,1.0681858617461617,1.0681858617461617,openadmet_expansion_train,2026
20,E-0010362,Cc1c2ccncc2cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,10.7,10.7,1.0681858617461617,1.0681858617461617,1.0681858617461617,openadmet_expansion_train,2026
21,E-0010455,Cc1c2ccncc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,46.2,46.2,1.6739419986340878,1.6739419986340878,1.6739419986340878,openadmet_expansion_train,2026
22,E-0010559,CNC(=O)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,48.9,48.9,1.69810054562339,1.69810054562339,1.69810054562339,openadmet_expansion_train,2026
23,E-0010562,Cc1c2ccncc2cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,12.6,12.6,1.1335389083702174,1.1335389083702174,1.1335389083702174,openadmet_expansion_train,2026
24,E-0010567,Cc1c2ccncc2cc2c3cc(OCCN)ccc3n(C)c12,13.6,13.6,1.1643528557844371,1.1643528557844371,1.1643528557844371,openadmet_expansion_train,2026
25,E-0010569,Cc1c2ccncc2cc2c3cc(OCCN4CCN(C)CC4)ccc3n(C)c12,17.6,17.6,1.2695129442179163,1.2695129442179163,1.2695129442179163,openadmet_expansion_train,2026
26,E-0010578,CCN(CC)CCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,12.7,12.7,1.1367205671564067,1.1367205671564067,1.1367205671564067,openadmet_expansion_train,2026
27,E-0010584,COc1ccc2c(c1)c1cc3ccncc3c(C)c1n2C,90.7,90.7,1.9623693356700211,1.9623693356700211,1.9623693356700211,openadmet_expansion_train,2026
28,E-0010600,COc1ccc2oc3c(C)c4ccncc4cc3c2c1,112.1,112.1,2.053462604925455,2.053462604925455,2.053462604925455,openadmet_expansion_train,2026
29,E-0010607,Cc1c2ccncc2cc2c3c(OCC4=NCCN4)cccc3n(C)c12,18.7,18.7,1.294466226161593,1.294466226161593,1.294466226161593,openadmet_expansion_train,2026
30,E-0010625,Cc1c2ccncc2cc2c3cc(OCC(=O)N(C)C)ccc3n(C)c12,65.7,65.7,1.824125833916549,1.824125833916549,1.824125833916549,openadmet_expansion_train,2026
31,E-0010662,Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3cnccc3cc21,29.0,29.0,1.4771212547196624,1.4771212547196624,1.4771212547196624,openadmet_expansion_train,2026
32,E-0010676,Cc1c2ccncc2cc2c1sc1ccc(OCCN3CCOCC3)cc12,45.5,45.5,1.667452952889954,1.667452952889954,1.667452952889954,openadmet_expansion_train,2026
33,E-0010690,Cc1c2ccncc2cc2c3cc(C(N)=O)ccc3n(C)c12,73.4,73.4,1.8715729355458788,1.8715729355458788,1.8715729355458788,openadmet_expansion_train,2026
