,mol_id,SMILES,hlm_value_unscaled,hlm_value_unscaled_log10,hlm_value_scaled,hlm_value_scaled_log10_low,hlm_value_scaled_log10_high,dataset,scaling_was_applied
3087,ASAP-0031351,CN(C1=CC=C2CNCC2=C1)[C@H](C(=O)NCC(F)F)C1=CC(Cl)=CC(C2CC2)=C1 |&1:11|,17.1,1.2576785748691846,,1.1865042984931389,1.2690176595925795,openadmet_polaris,True
3088,ASAP-0031265,N#CC1=CC2=C(C=C1NC(=O)C1=CC(F)=CC3=C1C=NN3)CNC2,16.7,1.2479732663618066,,1.176901186391347,1.2592975593608895,openadmet_polaris,True
3089,ASAP-0031004,O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC(C2=CNN=C2)=C1,36.3,1.5717088318086876,,1.498200242769982,1.5833846983819857,openadmet_polaris,True
3090,ASAP-0030761,COCCNC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1 |o1:7|,19.7,1.3159703454569178,,1.2442276257329077,1.327391632975154,openadmet_polaris,True
3091,ASAP-0030792,O=C(NC1=CC(Br)=C2CNCC2=C1)C1=CC(F)=CC2=C1C=NN2,13.6,1.1643528557844371,,1.0942614427205022,1.17553500604092,openadmet_polaris,True
3092,ASAP-0030826,CC(C)NC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1N=C(C1=CC=CC=C1)N2 |&1:6|,23.2,1.383815365980431,,1.3114995654603732,1.3953194023574431,openadmet_polaris,True
3093,ASAP-0030085,O=C(NC1=CC2=C(C=C1Br)CNC2)C1=CC(F)=CC2=C1C=NN2,11.4,1.0934216851622351,,1.024321442141565,1.1044597963350655,openadmet_polaris,True
3094,ASAP-0030028,O=C(NC1=CC=C2CNCC2=C1)C1=CC=CC2=C1C=C(C(F)(F)F)N2,14.1,1.1789769472931697,,1.1087002968944648,1.1901859749310977,openadmet_polaris,True
3095,ASAP-0029521,CC1=C(C(=O)NC2=CC([C@H]3CCOC3)=CC=N2)C=C(C2CC2)N1C |&1:9|,57.7,1.7686381012476144,,1.6943243521163105,1.78042965240054,openadmet_polaris,True
3096,ASAP-0029352,O=C(NC1=CC=C2CNCC2=C1)C1=CC(Br)=CC2=C1N=C(C1=CC=CC=C1)N2,12.8,1.1398790864012365,,1.0701117827822002,1.1510141777582517,openadmet_polaris,True
