activity_id,molecule_chembl_id,smiles,structure_status,target_chembl_id,target_name,assay_chembl_id,document_chembl_id,data_year,standard_type,standard_relation,standard_value,standard_units,data_validity_comment,activity_comment,assay_type,assay_description,classification_text,classification_bucket
2994470,CHEMBL567326,Cc1nonc1C(=O)NC1CCCc2c1cnn2-c1ccc(OC(F)(F)F)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL1045398,CHEMBL1156793,2010,CL,=,23.0,mL.min-1.kg-1,,,A,Metabolic stability in mouse liver microsomes assessed as hepatic clearance,metabolic stability in mouse liver microsomes assessed as hepatic clearance | | admet | cl | ml.min-1.kg-1,chembl_mlm_hepatic
2994476,CHEMBL566276,Cc1nonc1C(=O)NC1CCCc2c1cnn2-c1ccc(C(C)(C)C)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL1045398,CHEMBL1156793,2010,CL,=,34.0,mL.min-1.kg-1,,,A,Metabolic stability in mouse liver microsomes assessed as hepatic clearance,metabolic stability in mouse liver microsomes assessed as hepatic clearance | | admet | cl | ml.min-1.kg-1,chembl_mlm_hepatic
13345917,CHEMBL2393173,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N[C@H]2CCC[C@H](O)C2)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL2396487,CHEMBL2390826,2013,CL,=,61.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
13345918,CHEMBL2393171,N[C@H]1CC[C@H](NS(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)CC1,smiles_found,CHEMBL613580,Liver,CHEMBL2396487,CHEMBL2390826,2013,CL,=,27.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
13345919,CHEMBL2393166,CC1CNCCN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)C1,smiles_found,CHEMBL613580,Liver,CHEMBL2396487,CHEMBL2390826,2013,CL,=,48.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
13345920,CHEMBL2393163,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCC3(CCNC3)CC2)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL2396487,CHEMBL2390826,2013,CL,=,44.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
13345921,CHEMBL2393190,C[C@@H]1CN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)C[C@H](C)O1,smiles_found,CHEMBL613580,Liver,CHEMBL2396487,CHEMBL2390826,2013,CL,=,81.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
13345922,CHEMBL2393183,Nc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)c3ccccc3)cc2)cn1,smiles_found,CHEMBL613580,Liver,CHEMBL2396487,CHEMBL2390826,2013,CL,=,42.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um after 20 to 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
15074545,CHEMBL3360415,COc1ccc(NC(=O)[C@@H](C)Nc2nc3c(cnn3C3CCCC3)c(=O)[nH]2)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL3384356,CHEMBL3351564,2014,CL,=,65.8,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 0.75 uM incubated for 5 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 0.75 um incubated for 5 mins prior to nadph addition measured after 30 mins by lc/ms/ms analysis | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
15074566,CHEMBL386630,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,smiles_found,CHEMBL613580,Liver,CHEMBL3384356,CHEMBL3351564,2014,CL,=,87.1,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 0.75 uM incubated for 5 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 0.75 um incubated for 5 mins prior to nadph addition measured after 30 mins by lc/ms/ms analysis | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
15074567,CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,smiles_found,CHEMBL613580,Liver,CHEMBL3384356,CHEMBL3351564,2014,CL,=,87.8,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 0.75 uM incubated for 5 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 0.75 um incubated for 5 mins prior to nadph addition measured after 30 mins by lc/ms/ms analysis | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
