activity_id,molecule_chembl_id,smiles,structure_status,target_chembl_id,target_name,assay_chembl_id,document_chembl_id,data_year,standard_type,standard_relation,standard_value,standard_units,data_validity_comment,activity_comment,assay_type,assay_description,classification_text,classification_bucket
2258431,CHEMBL524645,CC(C)Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ccc(C(F)(F)F)cc2)CC1,smiles_found,CHEMBL612558,ADMET,CHEMBL1007123,CHEMBL1141693,2008,CL,=,0.0,mL.min-1.g-1,,,A,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein,metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein | | admet | cl | ml.min-1.g-1,chembl_mlm_intrinsic
2258432,CHEMBL521899,CS(=O)(=O)c1ccc(OCC2CC2)c(C(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL1007123,CHEMBL1141693,2008,CL,=,1000.0,mL.min-1.g-1,,,A,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein,metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein | | admet | cl | ml.min-1.g-1,chembl_mlm_intrinsic
2258433,CHEMBL496749,CS(=O)(=O)c1ccc(-c2ccc(F)cc2)c(C(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL1007123,CHEMBL1141693,2008,CL,=,5000.0,mL.min-1.g-1,,,A,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein,metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein | | admet | cl | ml.min-1.g-1,chembl_mlm_intrinsic
2258434,CHEMBL496540,CS(=O)(=O)c1ccc(-c2ccccc2)c(C(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL1007123,CHEMBL1141693,2008,CL,=,9000.0,mL.min-1.g-1,,,A,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein,metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein | | admet | cl | ml.min-1.g-1,chembl_mlm_intrinsic
2258435,CHEMBL497999,CS(=O)(=O)c1ccc(OCC2CC2)c(C(=O)N2CCN(c3ccc(C#N)cc3F)CC2)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL1007123,CHEMBL1141693,2008,CL,=,9000.0,mL.min-1.g-1,,,A,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein,metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein | | admet | cl | ml.min-1.g-1,chembl_mlm_intrinsic
2258436,CHEMBL523557,CS(=O)(=O)c1ccc(C2CCCCC2)c(C(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL1007123,CHEMBL1141693,2008,CL,=,11000.0,mL.min-1.g-1,Outside typical range,,A,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein,metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein | | admet | cl | ml.min-1.g-1,chembl_mlm_intrinsic
2258437,CHEMBL523567,CS(=O)(=O)c1ccc(N2CCN(C(=O)c3cc(S(C)(=O)=O)ccc3OCC3CC3)CC2)c(F)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL1007123,CHEMBL1141693,2008,CL,=,14000.0,mL.min-1.g-1,Outside typical range,,A,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein,metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein | | admet | cl | ml.min-1.g-1,chembl_mlm_intrinsic
2258438,CHEMBL496532,CS(=O)(=O)c1ccc(N2CCOCC2)c(C(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL1007123,CHEMBL1141693,2008,CL,=,15000.0,mL.min-1.g-1,Outside typical range,,A,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein,metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein | | admet | cl | ml.min-1.g-1,chembl_mlm_intrinsic
2258439,CHEMBL497998,CS(=O)(=O)c1ccc(N2CCCCC2)c(C(=O)N2CCN(c3ccc(C#N)cc3F)CC2)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL1007123,CHEMBL1141693,2008,CL,=,33000.0,mL.min-1.g-1,Outside typical range,,A,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein,metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein | | admet | cl | ml.min-1.g-1,chembl_mlm_intrinsic
2258440,CHEMBL522914,CS(=O)(=O)c1ccc(N2CCN(C(=O)c3cc(S(C)(=O)=O)ccc3N3CCCCC3)CC2)c(F)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL1007123,CHEMBL1141693,2008,CL,=,53000.0,mL.min-1.g-1,Outside typical range,,A,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein,metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein | | admet | cl | ml.min-1.g-1,chembl_mlm_intrinsic
2258441,CHEMBL495939,CS(=O)(=O)c1ccc(N2CCN(C(=O)c3cc(S(C)(=O)=O)ccc3-c3ccccc3)CC2)c(F)c1,smiles_found,CHEMBL612558,ADMET,CHEMBL1007123,CHEMBL1141693,2008,CL,=,90000.0,mL.min-1.g-1,Outside typical range,,A,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein,metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein | | admet | cl | ml.min-1.g-1,chembl_mlm_intrinsic
