activity_id,molecule_chembl_id,smiles,structure_status,target_chembl_id,target_name,assay_chembl_id,document_chembl_id,data_year,standard_type,standard_relation,standard_value,standard_units,data_validity_comment,activity_comment,assay_type,assay_description,classification_text,classification_bucket
18028545,CHEMBL4079061,Cc1cccc(F)c1CN1C[C@H](c2ccccc2)[C@@H](N(C)C)C1,smiles_found,CHEMBL613580,Liver,CHEMBL4007112,CHEMBL4004873,2017,CL,=,21666.67,mL.min-1.kg-1,Outside typical range,,A,Unbound intrinsic clearance in mouse liver microsomes at 0.5 uM by HPLC-MS/MS method,unbound intrinsic clearance in mouse liver microsomes at 0.5 um by hplc-ms/ms method | | liver | cl | ml.min-1.kg-1,chembl_mlm_unbound
18028546,CHEMBL4089371,Cc1cccc(F)c1CN1C[C@H](c2ccc(C(=O)N(C)C)cc2)[C@@H](N(C)C)C1,smiles_found,CHEMBL613580,Liver,CHEMBL4007112,CHEMBL4004873,2017,CL,=,1616.67,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in mouse liver microsomes at 0.5 uM by HPLC-MS/MS method,unbound intrinsic clearance in mouse liver microsomes at 0.5 um by hplc-ms/ms method | | liver | cl | ml.min-1.kg-1,chembl_mlm_unbound
18028547,CHEMBL4068192,Cc1cccc(F)c1CN1C[C@H](c2ccc(-c3cnn(CC(N)=O)c3)cc2)[C@@H](N(C)C)C1,smiles_found,CHEMBL613580,Liver,CHEMBL4007112,CHEMBL4004873,2017,CL,=,3750.0,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in mouse liver microsomes at 0.5 uM by HPLC-MS/MS method,unbound intrinsic clearance in mouse liver microsomes at 0.5 um by hplc-ms/ms method | | liver | cl | ml.min-1.kg-1,chembl_mlm_unbound
18028548,CHEMBL4081496,CC(=O)N1CCN(c2ccc([C@H]3CN(Cc4c(C)cccc4F)C[C@@H]3N(C)C)cc2)CC1,smiles_found,CHEMBL613580,Liver,CHEMBL4007112,CHEMBL4004873,2017,CL,=,2833.33,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in mouse liver microsomes at 0.5 uM by HPLC-MS/MS method,unbound intrinsic clearance in mouse liver microsomes at 0.5 um by hplc-ms/ms method | | liver | cl | ml.min-1.kg-1,chembl_mlm_unbound
18028549,CHEMBL4059553,Cc1cccc(F)c1CN1C[C@H](c2ccc(N3CCN(c4ccccn4)CC3)cc2)[C@@H](N(C)C)C1,smiles_found,CHEMBL613580,Liver,CHEMBL4007112,CHEMBL4004873,2017,CL,=,165000.0,mL.min-1.kg-1,Outside typical range,,A,Unbound intrinsic clearance in mouse liver microsomes at 0.5 uM by HPLC-MS/MS method,unbound intrinsic clearance in mouse liver microsomes at 0.5 um by hplc-ms/ms method | | liver | cl | ml.min-1.kg-1,chembl_mlm_unbound
18028550,CHEMBL4077273,Cc1cccc(F)c1CN1C[C@H](c2cn(CC(=O)N(C)C)c3ncccc23)[C@@H](N(C)C)C1,smiles_found,CHEMBL613580,Liver,CHEMBL4007112,CHEMBL4004873,2017,CL,=,4600.0,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in mouse liver microsomes at 0.5 uM by HPLC-MS/MS method,unbound intrinsic clearance in mouse liver microsomes at 0.5 um by hplc-ms/ms method | | liver | cl | ml.min-1.kg-1,chembl_mlm_unbound
18028551,CHEMBL4072329,Cc1cccc(F)c1CN1C[C@H](c2ccc(C3=CCN(C(=O)CS(C)(=O)=O)CC3)nc2)[C@@H](N(C)C)C1,smiles_found,CHEMBL613580,Liver,CHEMBL4007112,CHEMBL4004873,2017,CL,=,4466.67,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in mouse liver microsomes at 0.5 uM by HPLC-MS/MS method,unbound intrinsic clearance in mouse liver microsomes at 0.5 um by hplc-ms/ms method | | liver | cl | ml.min-1.kg-1,chembl_mlm_unbound
18028552,CHEMBL4093096,CN(C)[C@H]1CC(C2CCc3cccc(F)c32)C[C@@H]1c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1,smiles_found,CHEMBL613580,Liver,CHEMBL4007112,CHEMBL4004873,2017,CL,=,11000.0,mL.min-1.kg-1,Outside typical range,,A,Unbound intrinsic clearance in mouse liver microsomes at 0.5 uM by HPLC-MS/MS method,unbound intrinsic clearance in mouse liver microsomes at 0.5 um by hplc-ms/ms method | | liver | cl | ml.min-1.kg-1,chembl_mlm_unbound
18028553,CHEMBL4060827,CC(=O)N1CCN(c2ccc([C@H]3CN(C4CCc5cccc(F)c54)C[C@@H]3N(C)C)cc2)CC1,smiles_found,CHEMBL613580,Liver,CHEMBL4007112,CHEMBL4004873,2017,CL,=,3666.67,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in mouse liver microsomes at 0.5 uM by HPLC-MS/MS method,unbound intrinsic clearance in mouse liver microsomes at 0.5 um by hplc-ms/ms method | | liver | cl | ml.min-1.kg-1,chembl_mlm_unbound
18028554,CHEMBL4076017,CN(C)[C@H]1CN(C2CCc3cccc(F)c32)C[C@@H]1C1CCN(c2ccc(C(N)=O)cn2)CC1,smiles_found,CHEMBL613580,Liver,CHEMBL4007112,CHEMBL4004873,2017,CL,=,2000.0,mL.min-1.kg-1,,,A,Unbound intrinsic clearance in mouse liver microsomes at 0.5 uM by HPLC-MS/MS method,unbound intrinsic clearance in mouse liver microsomes at 0.5 um by hplc-ms/ms method | | liver | cl | ml.min-1.kg-1,chembl_mlm_unbound
18028555,CHEMBL4077363,Cc1cccc(F)c1CN1C[C@H](c2cn(C)c3c(C(=O)N4CC(F)C4)cccc23)[C@@H](N(C)C)C1,smiles_found,CHEMBL613580,Liver,CHEMBL4007112,CHEMBL4004873,2017,CL,=,18333.33,mL.min-1.kg-1,Outside typical range,,A,Unbound intrinsic clearance in mouse liver microsomes at 0.5 uM by HPLC-MS/MS method,unbound intrinsic clearance in mouse liver microsomes at 0.5 um by hplc-ms/ms method | | liver | cl | ml.min-1.kg-1,chembl_mlm_unbound
