activity_id,molecule_chembl_id,smiles,structure_status,target_chembl_id,target_name,assay_chembl_id,document_chembl_id,data_year,standard_type,standard_relation,standard_value,standard_units,data_validity_comment,activity_comment,assay_type,assay_description,classification_text,classification_bucket
2271795,CHEMBL460108,Cc1nnc([C@](F)([C@H]2Cc3[nH]c4ccc(Cl)cc4c3C2)S(=O)(=O)c2ccccc2)o1,smiles_found,CHEMBL612558,ADMET,CHEMBL1015311,CHEMBL1153298,2009,CL,=,59.0,mL.min-1.kg-1,,,A,Metabolic stability in mouse liver microsomes assessed as compound clearance,metabolic stability in mouse liver microsomes assessed as compound clearance | | admet | cl | ml.min-1.kg-1,chembl_mlm_unknown
3198668,CHEMBL1084926,CC(C)(O)c1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1,smiles_found,CHEMBL612558,ADMET,CHEMBL1108634,CHEMBL1154879,2010,CL,=,45.0,mL.min-1.kg-1,,,A,Clearance in mouse liver microsomes,clearance in mouse liver microsomes | | admet | cl | ml.min-1.kg-1,chembl_mlm_unknown
6201840,CHEMBL1779192,CCN(CC)CCOc1ccc2c(c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,smiles_found,CHEMBL613580,Liver,CHEMBL1781773,CHEMBL1777813,2011,CL,=,51.4,mL.min-1.g-1,,,A,Clearance in mouse liver microsomes at 1 uM after 30 mins in presence of NADPH,clearance in mouse liver microsomes at 1 um after 30 mins in presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6201841,CHEMBL1779193,CC1(C)c2cc(OCCN3CCS(=O)(=O)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,smiles_found,CHEMBL613580,Liver,CHEMBL1781773,CHEMBL1777813,2011,CL,=,24.9,mL.min-1.g-1,,,A,Clearance in mouse liver microsomes at 1 uM after 30 mins in presence of NADPH,clearance in mouse liver microsomes at 1 um after 30 mins in presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6201842,CHEMBL1779194,CC(=O)NCCOc1ccc2c(c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,smiles_found,CHEMBL613580,Liver,CHEMBL1781773,CHEMBL1777813,2011,CL,=,14.1,mL.min-1.g-1,,,A,Clearance in mouse liver microsomes at 1 uM after 30 mins in presence of NADPH,clearance in mouse liver microsomes at 1 um after 30 mins in presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6201843,CHEMBL1779195,CC1(C)c2cc(OCCNC(N)=O)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,smiles_found,CHEMBL613580,Liver,CHEMBL1781773,CHEMBL1777813,2011,CL,=,6.8,mL.min-1.g-1,,,A,Clearance in mouse liver microsomes at 1 uM after 30 mins in presence of NADPH,clearance in mouse liver microsomes at 1 um after 30 mins in presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6201844,CHEMBL1779196,CC1(C)c2cc(N3CCCCC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,smiles_found,CHEMBL613580,Liver,CHEMBL1781773,CHEMBL1777813,2011,CL,=,58.9,mL.min-1.g-1,,,A,Clearance in mouse liver microsomes at 1 uM after 30 mins in presence of NADPH,clearance in mouse liver microsomes at 1 um after 30 mins in presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6201845,CHEMBL1779197,CC1(C)c2cc(N3CCOCC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,smiles_found,CHEMBL613580,Liver,CHEMBL1781773,CHEMBL1777813,2011,CL,=,8.1,mL.min-1.g-1,,,A,Clearance in mouse liver microsomes at 1 uM after 30 mins in presence of NADPH,clearance in mouse liver microsomes at 1 um after 30 mins in presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6201846,CHEMBL1779198,CC1(C)c2cc(N3CCC(O)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,smiles_found,CHEMBL613580,Liver,CHEMBL1781773,CHEMBL1777813,2011,CL,=,24.6,mL.min-1.g-1,,,A,Clearance in mouse liver microsomes at 1 uM after 30 mins in presence of NADPH,clearance in mouse liver microsomes at 1 um after 30 mins in presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6201847,CHEMBL1779199,CC1(C)c2cc(N3CCN(S(C)(=O)=O)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,smiles_found,CHEMBL613580,Liver,CHEMBL1781773,CHEMBL1777813,2011,CL,=,15.8,mL.min-1.g-1,,,A,Clearance in mouse liver microsomes at 1 uM after 30 mins in presence of NADPH,clearance in mouse liver microsomes at 1 um after 30 mins in presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
6201848,CHEMBL1779200,CC(C)N1CCN(c2ccc3c(c2)C(C)(C)c2[nH]c4cc(C#N)ccc4c2C3=O)CC1,smiles_found,CHEMBL613580,Liver,CHEMBL1781773,CHEMBL1777813,2011,CL,=,23.1,mL.min-1.g-1,,,A,Clearance in mouse liver microsomes at 1 uM after 30 mins in presence of NADPH,clearance in mouse liver microsomes at 1 um after 30 mins in presence of nadph | | liver | cl | ml.min-1.g-1,chembl_mlm_unknown
