SMILES_standardized,SMILES,mol_id,dataset,hlm_value_scaled_log10_low_deduplicated,n_reps,y_std,y_min,y_max
Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,E-0015653,openadmet_expansion_train,1.3242824552976926,1,,1.3242824552976926,1.3242824552976926
Brc1cc2c(cc1Cn1cncn1)OCCCO2,Brc1cc2c(cc1Cn1cncn1)OCCCO2,fang_1175,fang_dataset,0.886265059,1,,0.886265059,0.886265059
Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,fang_434,fang_dataset,0.675686709,1,,0.675686709,0.675686709
Brc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,Brc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,CHEMBL4746716,chembl_dataset,0.8876173003357362,1,,0.8876173003357362,0.8876173003357362
Brc1ccc2c(c1)CCCc1nnc([C@H]3CC[C@H](Oc4ccccn4)CC3)n1-2,Brc1ccc2c(c1)CCCc1nnc([C@H]3CC[C@H](Oc4ccccn4)CC3)n1-2,CHEMBL4799412,chembl_dataset,0.9324737646771531,1,,0.9324737646771531,0.9324737646771531
Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,fang_2741,fang_dataset,2.081606511,1,,2.081606511,2.081606511
Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,E-0016409,openadmet_expansion_train,0.4623979978989561,1,,0.4623979978989561,0.4623979978989561
Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,E-0016963,openadmet_expansion_train,0.9542425094393248,1,,0.9542425094393248,0.9542425094393248
Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,E-0016408,openadmet_expansion_train,0.9344984512435676,1,,0.9344984512435676,0.9344984512435676
Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,fang_1862,fang_dataset,1.888409783,1,,1.888409783,1.888409783
C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,CHEMBL5567954,chembl_dataset,1.9503648543761232,1,,1.9503648543761232,1.9503648543761232
C#CCC(C(=O)N[C@H](/C=C/C(=O)OCC)CC1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,CHEMBL141157,chembl_dataset,1.2682877212723995,1,,1.2682877212723995,1.2682877212723995
C#CCC(CCCNC(=O)OC)C(=O)OCCOc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc([N-]S(C)(=O)=O)c3C)cc2)cc1,C#CCC(CCCNC(=O)OC)C(=O)OCCOc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc(NS(C)(=O)=O)c3C)cc2)cc1,CHEMBL3114551,chembl_dataset,2.811440943674158,1,,2.811440943674158,2.811440943674158
C#CCC(CCCNC(=O)OC)C(=O)Oc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc([N-]S(C)(=O)=O)c3C)cc2)cc1,C#CCC(CCCNC(=O)OC)C(=O)Oc1ccc(Oc2ccc(CN(Cc3ccccc3)c3cccc(NS(C)(=O)=O)c3C)cc2)cc1,CHEMBL3114545,chembl_dataset,2.6655809910179533,1,,2.6655809910179533,2.6655809910179533
C#CCCCCc1ccc(OCCCc2cc(C(=O)N(C)C)no2)cc1,C#CCCCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,ASAP-0020904,openadmet_polaris,1.8332491368106296,1,,1.8332491368106296,1.8332491368106296
C#CCCc1ccc(OCCCc2cc(C(=O)N(C)C)no2)cc1,C#CCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,ASAP-0021070,openadmet_polaris,1.7137928479390605,1,,1.7137928479390605,1.7137928479390605
C#CCN(Cc1ccc(F)cc1)c1cc(C)c(NC(=O)OC)c(C)c1,C#CCN(Cc1ccc(F)cc1)c1cc(C)c(NC(=O)OC)c(C)c1,CHEMBL5180351,chembl_dataset,1.8041394323353503,1,,1.8041394323353503,1.8041394323353503
C#CCN1C(=O)C(C)N(C)c2nc(Nc3cc(F)c([O-])c(F)c3)ncc21,C#CCN1C(=O)[C@H](C)N(C)c2nc(Nc3cc(F)c(O)c(F)c3)ncc21,CHEMBL5559444,chembl_dataset,0.9613261559347108,1,,0.9613261559347108,0.9613261559347108
C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,fang_295,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCCC1C(=O)Nc1cnn(-c2ncccn2)c1,C#CCN1CCC[C@H]1C(=O)Nc1cnn(-c2ncccn2)c1,fang_1086,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,fang_1777,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCN(Cc2nc([O-])cc(C(F)(F)F)n2)CC1,C#CCN1CCN(Cc2nc(O)cc(C(F)(F)F)n2)CC1,fang_1696,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)CCc1c(C)nn(C)c1C,C#CCNC(=O)CCc1c(C)nn(C)c1C,fang_1405,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,fang_192,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)Cc1coc(-c2ccccc2)n1,C#CCNC(=O)Cc1coc(-c2ccccc2)n1,fang_2395,fang_dataset,1.430268606,1,,1.430268606,1.430268606
