SMILES_standardized,SMILES,mol_id,dataset,hlm_value_scaled_log10_low_deduplicated,n_reps,y_std,y_min,y_max
Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,E-0015653,openadmet_expansion_train,1.3242824552976926,1,,1.3242824552976926,1.3242824552976926
Brc1cc2c(cc1Cn1cncn1)OCCCO2,Brc1cc2c(cc1Cn1cncn1)OCCCO2,fang_1175,fang_dataset,0.886265059,1,,0.886265059,0.886265059
Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,fang_434,fang_dataset,0.675686709,1,,0.675686709,0.675686709
Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,fang_2741,fang_dataset,2.081606511,1,,2.081606511,2.081606511
Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,E-0016409,openadmet_expansion_train,0.4623979978989561,1,,0.4623979978989561,0.4623979978989561
Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,E-0016963,openadmet_expansion_train,0.9542425094393248,1,,0.9542425094393248,0.9542425094393248
Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,E-0016408,openadmet_expansion_train,0.9344984512435676,1,,0.9344984512435676,0.9344984512435676
Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,fang_1862,fang_dataset,1.888409783,1,,1.888409783,1.888409783
C#CCCCCc1ccc(OCCCc2cc(C(=O)N(C)C)no2)cc1,C#CCCCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,ASAP-0020904,openadmet_polaris,1.8332491368106296,1,,1.8332491368106296,1.8332491368106296
C#CCCc1ccc(OCCCc2cc(C(=O)N(C)C)no2)cc1,C#CCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,ASAP-0021070,openadmet_polaris,1.7137928479390605,1,,1.7137928479390605,1.7137928479390605
C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,fang_295,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCCC1C(=O)Nc1cnn(-c2ncccn2)c1,C#CCN1CCC[C@H]1C(=O)Nc1cnn(-c2ncccn2)c1,fang_1086,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,fang_1777,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCN1CCN(Cc2nc([O-])cc(C(F)(F)F)n2)CC1,C#CCN1CCN(Cc2nc(O)cc(C(F)(F)F)n2)CC1,fang_1696,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)CCc1c(C)nn(C)c1C,C#CCNC(=O)CCc1c(C)nn(C)c1C,fang_1405,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,fang_192,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)Cc1coc(-c2ccccc2)n1,C#CCNC(=O)Cc1coc(-c2ccccc2)n1,fang_2395,fang_dataset,1.430268606,1,,1.430268606,1.430268606
C#CCNC(=O)Cc1coc2cc(OC)ccc12,C#CCNC(=O)Cc1coc2cc(OC)ccc12,fang_1228,fang_dataset,1.188647296,1,,1.188647296,1.188647296
C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,fang_1889,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)c1cc(C(C)C)nn1CC,C#CCNC(=O)c1cc(C(C)C)nn1CC,fang_971,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCNC(=O)c1ccc2c(c1)OCO2,C#CCNC(=O)c1ccc2c(c1)OCO2,fang_1586,fang_dataset,1.145755624,1,,1.145755624,1.145755624
C#CCOc1ccc(C(=O)[N-]N2CCCC2=O)cc1,C#CCOc1ccc(C(=O)NN2CCCC2=O)cc1,fang_1199,fang_dataset,0.675686709,1,,0.675686709,0.675686709
C#CCOc1ccc(OC)cc1C(N)=O,C#CCOc1ccc(OC)cc1C(N)=O,fang_1959,fang_dataset,1.139942023,1,,1.139942023,1.139942023
C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,fang_103,fang_dataset,1.842771446,1,,1.842771446,1.842771446
C#Cc1c[nH]nc1C(=O)N1CCN(Cc2cncc(Cl)c2)C2(CC2)C1,C#Cc1cn[nH]c1C(=O)N1CCN(Cc2cncc(Cl)c2)C2(CC2)C1,E-0014296,openadmet_expansion_train,1.4440447959180762,1,,1.4440447959180762,1.4440447959180762
C#Cc1cc(-c2ccc(C(=O)NCCOC)cc2)cc2cnccc12,C#Cc1cc(-c2ccc(C(=O)NCCOC)cc2)cc2cnccc12,E-0016274,openadmet_expansion_train,1.649334858712142,1,,1.649334858712142,1.649334858712142
C#Cc1cc(-c2ccc(OCCN(C)C)cc2)c2ccncc2c1,C#Cc1cc(-c2ccc(OCCN(C)C)cc2)c2ccncc2c1,E-0016026,openadmet_expansion_train,1.4082399653118496,1,,1.4082399653118496,1.4082399653118496
C#Cc1cc(-c2ccc(OCCN(C)C)cc2)cc2cnccc12,C#Cc1cc(-c2ccc(OCCN(C)C)cc2)cc2cnccc12,E-0016025,openadmet_expansion_train,1.6283889300503116,1,,1.6283889300503116,1.6283889300503116
C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)c2ccncc2c1,C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)c2ccncc2c1,E-0015406,openadmet_expansion_train,1.507855871695831,1,,1.507855871695831,1.507855871695831
